,Source,TotalN,TotalP,Sediment,Area,gwlfe_endpoint,huc,huc_level,huc_run,huc_run_level,huc_run_name,huc_run_states,huc_run_areaacres,land_use_source,closest_weather_stations,stream_layer,weather_source
25,Entire area,19474.52019406299,1394.2273156091042,968165.8605246579,8764.0,subbasin,020401010402,12,020401010402,12,Lower Equinunk Creek,PA,21904.12,2019_2019,"4725,14777",nhdhr,NASA_NLDAS_2000_2019
26,Entire area,19821.30271499317,1341.2431593056776,392389.926063648,5534.599999999999,subbasin,020401010403,12,020401010403,12,Factory Creek-Delaware River,"NY,PA",14186.81,2019_2019,"4725,14777",nhdhr,NASA_NLDAS_2000_2019
27,Entire area,14432.977176305816,898.7377335012453,610398.4633729589,5795.9,subbasin,020401010404,12,020401010404,12,Basket Creek,NY,14419.35,2019_2019,"4725,14777",nhdhr,NASA_NLDAS_2000_2019
28,Entire area,14845.825823699419,1638.5966868276732,931929.2611566406,6346.9,subbasin,020401010405,12,020401010405,12,Little Equinunk Creek,PA,16049.76,2019_2019,"4725,14777",nhdhr,NASA_NLDAS_2000_2019
29,Entire area,21026.853616275854,1473.3585327004319,1180672.3802896251,9116.599999999999,subbasin,020401010406,12,020401010406,12,Pea Brook-Delaware River,"NY,PA",23104.89,2019_2019,"4725,14777",nhdhr,NASA_NLDAS_2000_2019
30,Entire area,104748.55082218828,10583.91187345856,6832735.944818425,45550.799999999996,subbasin,0204010105,10,0204010105,10,Callicoon Creek-Delaware River,"NY,PA",114124.33,2019_2019,"4725,14777",nhdhr,NASA_NLDAS_2000_2019
31,Entire area,24197.692027530597,2097.069820821099,1620514.3828480167,10598.999999999996,subbasin,020401010501,12,020401010501,12,Hankins Creek-Delaware River,"NY,PA",26751.93,2019_2019,"4725,14777",nhdhr,NASA_NLDAS_2000_2019
32,Entire area,20760.076471118653,2163.704632587025,1365640.3315181609,9305.400000000001,subbasin,020401010502,12,020401010502,12,North Branch Callicoon Creek,NY,23160.41,2019_2019,"4725,14777",nhdhr,NASA_NLDAS_2000_2019
33,Entire area,18494.356941141792,1854.8872948269943,1193650.121269381,8522.6,subbasin,020401010503,12,020401010503,12,Upper East Branch Callicoon Creek,NY,21171.3,2019_2019,"4725,14777",nhdhr,NASA_NLDAS_2000_2019
34,Entire area,13878.388622618811,1625.0832827933398,988760.524826702,6219.2,subbasin,020401010504,12,020401010504,12,Middle East Branch Callicoon Creek,NY,15615.02,2019_2019,"4725,14777",nhdhr,NASA_NLDAS_2000_2019
35,Entire area,12694.289042747367,1528.1249150527792,683561.2465878822,4753.900000000001,subbasin,020401010505,12,020401010505,12,Lower East Branch Callicoon Creek,NY,11785.38,2019_2019,"4725,14777",nhdhr,NASA_NLDAS_2000_2019
36,Entire area,14723.747717031061,1315.0419273773227,980609.3377682827,6150.699999999999,subbasin,020401010506,12,020401010506,12,Beaverdam Creek-Delaware River,"NY,PA",15640.3,2019_2019,"4725,14777",nhdhr,NASA_NLDAS_2000_2019
37,Entire area,103328.42222216602,8292.517556146517,6356986.290202778,45868.7,subbasin,0204010106,10,0204010106,10,Masthope Creek-Delaware River,"NY,PA",116093.72,2019_2019,"4725,14777",nhdhr,NASA_NLDAS_2000_2019
38,Entire area,13238.069492993236,1626.519933318802,697531.3572216728,5501.8,subbasin,020401010601,12,020401010601,12,North Branch Calkins Creek,PA,13754.19,2019_2019,"4725,14777",nhdhr,NASA_NLDAS_2000_2019
39,Entire area,13648.567015157201,1351.141007002787,748582.6152620164,5799.799999999999,subbasin,020401010602,12,020401010602,12,South Branch Calkins Creek,PA,14410.24,2019_2019,"4725,14777",nhdhr,NASA_NLDAS_2000_2019
40,Entire area,27006.84946675719,2119.4831756106664,1748713.638065132,12415.8,subbasin,020401010603,12,020401010603,12,Tenmile River,NY,31149.8,2019_2019,"14737,14777",nhdhr,NASA_NLDAS_2000_2019
41,Entire area,24714.216162701385,1941.382754182339,1833584.0259257024,9543.400000000001,subbasin,020401010604,12,020401010604,12,Peggy Run-Delaware River,"NY,PA",24333.56,2019_2019,"14737,14777",nhdhr,NASA_NLDAS_2000_2019
42,Entire area,19432.193999180356,1247.4750158485917,906827.2325291043,7799.199999999999,subbasin,020401010605,12,020401010605,12,Masthope Creek,PA,19955.64,2019_2019,"14737,14777",nhdhr,NASA_NLDAS_2000_2019
43,Entire area,10527.80484305384,494.338074326822,699852.7037711554,4808.699999999999,subbasin,020401010606,12,020401010606,12,Westcolang Creek-Delaware River,"NY,PA",12490.28,2019_2019,"14737,14777",nhdhr,NASA_NLDAS_2000_2019
44,Entire area,72186.50367148749,5497.760854235102,4307031.687917404,33499.4,subbasin,0204010201,10,0204010201,10,Willowemoc Creek,NY,83709.03,2019_2019,"4725,14777",nhdhr,NASA_NLDAS_2000_2019
45,Entire area,16515.965422305104,1153.0546487500494,1224442.406920461,7716.7,subbasin,020401020101,12,020401020101,12,Little Beaver Kill,NY,19370.78,2019_2019,"4725,14777",nhdhr,NASA_NLDAS_2000_2019
46,Entire area,12963.426866089689,693.3003108911058,710430.4182753894,7234.2,subbasin,020401020102,12,020401020102,12,Upper Willowemoc Creek,NY,17930.56,2019_2019,"14735,14777",nhdhr,NASA_NLDAS_2000_2019
47,Entire area,16628.3159192061,1106.9877774458712,1106997.1536585975,9060.900000000003,subbasin,020401020103,12,020401020103,12,Middle Willowemoc Creek,NY,22753.5,2019_2019,"14735,14777",nhdhr,NASA_NLDAS_2000_2019
48,Entire area,25262.539878416937,2495.4720738624274,1222295.5815596075,9487.6,subbasin,020401020104,12,020401020104,12,Lower Willowemoc Creek,NY,23654.18,2019_2019,"4725,14777",nhdhr,NASA_NLDAS_2000_2019
49,Entire area,92424.74141635944,5506.830116796334,4035925.297123,43284.4,subbasin,0204010202,10,0204010202,10,Beaver Kill,NY,107830.05,2019_2019,"4725,14777",nhdhr,NASA_NLDAS_2000_2019
50,Entire area,24316.67023200486,1193.3901846023107,817594.8384441806,12870.100000000002,subbasin,020401020201,12,020401020201,12,Upper Beaver Kill,NY,32012.62,2019_2019,"14735,14777",nhdhr,NASA_NLDAS_2000_2019
51,Entire area,26942.37149472054,1653.9921146959437,1257373.7760871202,12536.8,subbasin,020401020202,12,020401020202,12,Middle Beaver Kill,NY,31158.95,2019_2019,"4725,14777",nhdhr,NASA_NLDAS_2000_2019
52,Entire area,11131.137616963399,754.9366242111153,432596.3079838494,5027.8,subbasin,020401020203,12,020401020203,12,Tennanah Lake-Trout Brook,NY,12640.73,2019_2019,"4725,14777",nhdhr,NASA_NLDAS_2000_2019
53,Entire area,29500.567949274326,1874.7651611470956,1513090.3665548288,12849.7,subbasin,020401020204,12,020401020204,12,Lower Beaver Kill,NY,32017.74,2019_2019,"4725,14777",nhdhr,NASA_NLDAS_2000_2019
54,Entire area,109525.64054990397,9934.856764146467,8101046.347753845,55059.399999999994,subbasin,0204010203,10,0204010203,10,Upper East Branch Delaware River,NY,136436.76,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
55,Entire area,9500.633701675799,1006.7586275526327,614007.474129212,4988.7,subbasin,020401020301,12,020401020301,12,Batavia Kill,NY,12332.7,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
56,Entire area,25613.739333609996,2498.032793618966,2220935.4462233097,12897.999999999998,subbasin,020401020302,12,020401020302,12,Pleasant Valley Brook-East Branch Delaware River,NY,31918.39,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
57,Entire area,22860.836333652944,2156.1144454807413,2074318.1817447804,12224.0,subbasin,020401020303,12,020401020303,12,Vly Creek-Bush Kill,NY,30219.34,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
58,Entire area,15784.593423999475,1188.7941564121763,849892.8652935799,9093.800000000001,subbasin,020401020304,12,020401020304,12,Dry Brook,NY,22488.67,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
59,Entire area,17716.13480058354,1744.727689660843,1189930.7740035253,9150.0,subbasin,020401020305,12,020401020305,12,Platte Kill,NY,22615.0,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
60,Entire area,18049.702956382207,1340.4290514211073,1151961.6063594376,6704.899999999998,subbasin,020401020306,12,020401020306,12,Huckleberry Brook-East Branch Delaware River,NY,16862.65,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
61,Entire area,85048.10835805957,6743.372118364694,4443658.759915029,38886.299999999996,subbasin,0204010204,10,0204010204,10,Middle East Branch Delaware River,NY,101165.34,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
62,Entire area,15458.957735133725,1099.2134039086739,614468.7143297147,6544.899999999999,subbasin,020401020401,12,020401020401,12,Mill Brook,NY,16197.96,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
63,Entire area,18910.44955344486,1790.2470200083217,1233307.5911637319,9642.300000000001,subbasin,020401020402,12,020401020402,12,Tremper Kill-Pepacton Reservoir,NY,24005.75,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
64,Entire area,13485.504737962168,1064.528802232339,715698.2482493453,6626.0,subbasin,020401020403,12,020401020403,12,Barkaboom Stream-East Branch Delaware River,NY,17643.06,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
65,Entire area,19861.32908458587,1718.790479910174,1031809.0685546326,8075.4,subbasin,020401020404,12,020401020404,12,Murphy Hill Brook-Pepacton Reservoir,NY,20595.47,2019_2019,"4725,14777",nhdhr,NASA_NLDAS_2000_2019
66,Entire area,20562.635236865295,1321.7152003538392,977819.8816189591,7997.699999999999,subbasin,020401020405,12,020401020405,12,Holliday Brook-East Branch Delaware River,NY,22723.11,2019_2019,"4725,14777",nhdhr,NASA_NLDAS_2000_2019
67,Entire area,122046.84244991762,7167.909874366076,3679714.1707686437,43677.80000000001,subbasin,0204010205,10,0204010205,10,Lower East Branch Delaware River,NY,108711.11,2019_2019,"4725,14777",nhdhr,NASA_NLDAS_2000_2019
68,Entire area,15832.11289210977,1376.4284047058698,584605.9876180867,7012.9,subbasin,020401020501,12,020401020501,12,Wilson Hollow Brook-Downs Brook,NY,17332.55,2019_2019,"4725,14777",nhdhr,NASA_NLDAS_2000_2019
69,Entire area,32032.608380451067,1603.283240833514,914817.219439357,9691.400000000001,subbasin,020401020502,12,020401020502,12,Trout Brook-East Branch Delaware River,NY,24071.86,2019_2019,"4725,14777",nhdhr,NASA_NLDAS_2000_2019
70,Entire area,28460.974107028684,1126.4306829621746,533767.0935242153,6857.299999999999,subbasin,020401020503,12,020401020503,12,Baxter Brook-East Branch Delaware River,NY,17097.67,2019_2019,"4725,14777",nhdhr,NASA_NLDAS_2000_2019
71,Entire area,9925.670206039125,596.8670175510756,242429.16420908103,4439.1,subbasin,020401020504,12,020401020504,12,Read Creek,NY,11016.31,2019_2019,"4725,14777",nhdhr,NASA_NLDAS_2000_2019
72,Entire area,11372.68238332838,818.5056835618827,471753.72931968275,4952.800000000001,subbasin,020401020505,12,020401020505,12,Fish Creek-East Branch Delaware River,NY,12372.43,2019_2019,"4725,14777",nhdhr,NASA_NLDAS_2000_2019
73,Entire area,10277.149468393367,608.9872582743282,336876.91998657474,4660.0,subbasin,020401020506,12,020401020506,12,Cadosia Creek,NY,11546.38,2019_2019,"4725,14777",nhdhr,NASA_NLDAS_2000_2019
74,Entire area,14145.64501256721,1037.4075864772317,595464.0566716458,6064.3,subbasin,020401020507,12,020401020507,12,Peas Eddy Brook-East Branch Delaware River,NY,15273.91,2019_2019,"4725,14777",nhdhr,NASA_NLDAS_2000_2019
75,Entire area,116443.35619859147,11587.427895601171,3555636.2075781217,23288.5,subbasin,0204010301,10,0204010301,10,West Branch Lackawaxen River,PA,59019.67,2019_2019,"4725,14777",nhdhr,NASA_NLDAS_2000_2019
76,Entire area,9942.523471547129,1227.892757012911,437107.5136151363,4298.3,subbasin,020401030101,12,020401030101,12,Johnson Creek,PA,10705.76,2019_2019,"4725,14777",nhdhr,NASA_NLDAS_2000_2019
77,Entire area,18373.041697806293,2328.3916233885193,748663.8735251618,5542.900000000001,subbasin,020401030102,12,020401030102,12,Van Auken Creek,PA,14244.53,2019_2019,"4725,14777",nhdhr,NASA_NLDAS_2000_2019
78,Entire area,88127.79102923804,8031.143515199741,2369864.820437824,13447.300000000001,subbasin,020401030103,12,020401030103,12,Belmont Lake-West Branch Lackawaxen River,PA,34069.38,2019_2019,"4725,14777",nhdhr,NASA_NLDAS_2000_2019
79,Entire area,41688.98126905631,4241.947136380773,1858715.372959172,17896.5,subbasin,0204010302,10,0204010302,10,Dyberry Creek,PA,44815.52,2019_2019,"4725,14777",nhdhr,NASA_NLDAS_2000_2019
80,Entire area,9607.698385022777,844.899537703392,248029.68172822034,4300.0,subbasin,020401030201,12,020401030201,12,East Branch Dyberry Creek,PA,10832.97,2019_2019,"4725,14777",nhdhr,NASA_NLDAS_2000_2019
81,Entire area,16730.618692009037,1637.8095337307204,647168.635392497,7431.9000000000015,subbasin,020401030202,12,020401030202,12,West Branch Dyberry Creek,PA,18571.74,2019_2019,"4725,14777",nhdhr,NASA_NLDAS_2000_2019
82,Entire area,15350.664192024497,1759.238064946661,963517.0558384545,6164.599999999999,subbasin,020401030203,12,020401030203,12,Big Brook-Dyberry Creek,PA,15410.81,2019_2019,"4725,14777",nhdhr,NASA_NLDAS_2000_2019
83,Entire area,50725.632375714384,5087.116876070448,3011229.767460634,21021.4,subbasin,0204010303,10,0204010303,10,Middle Creek,PA,52627.94,2019_2019,"14737,14777",nhdhr,NASA_NLDAS_2000_2019
84,Entire area,24990.387892841,2737.849577740313,1528580.9044219458,10323.000000000002,subbasin,020401030301,12,020401030301,12,Upper Middle Creek,PA,25770.75,2019_2019,"14737,14777",nhdhr,NASA_NLDAS_2000_2019
85,Entire area,25735.244482873382,2349.2672983301345,1482648.863038688,10698.399999999998,subbasin,020401030302,12,020401030302,12,Lower Middle Creek,PA,26857.19,2019_2019,"14737,14777",nhdhr,NASA_NLDAS_2000_2019
86,Entire area,43317.38956321683,5175.360102111521,4592891.17319531,17231.299999999996,subbasin,0204010304,10,0204010304,10,West Branch Wallenpaupack Creek,PA,43213.89,2019_2019,"14737,14777",nhdhr,NASA_NLDAS_2000_2019
87,Entire area,9497.194189601738,1022.9072262612499,553730.6984734781,3961.9999999999995,subbasin,020401030401,12,020401030401,12,Jones Creek,PA,10186.43,2019_2019,"14737,14777",nhdhr,NASA_NLDAS_2000_2019
88,Entire area,33820.19537361509,4152.452875850271,4039160.4747218317,13269.299999999997,subbasin,020401030402,12,020401030402,12,Butternut Creek-West Branch Wallenpaupack Creek,PA,33027.46,2019_2019,"14737,14777",nhdhr,NASA_NLDAS_2000_2019
89,Entire area,111151.49141363314,5841.636088552156,7724984.311425231,38198.299999999996,subbasin,0204010305,10,0204010305,10,Wallenpaupack Creek,PA,102307.72,2019_2019,"14737,14777",nhdhr,NASA_NLDAS_2000_2019
90,Entire area,8867.276826700705,462.1791896197572,400520.86063604197,4388.6,subbasin,020401030501,12,020401030501,12,Bridge Creek,PA,10964.86,2019_2019,"14737,14777",nhdhr,NASA_NLDAS_2000_2019
91,Entire area,8379.32909709727,388.7797021095424,330575.6356553352,4107.500000000001,subbasin,020401030502,12,020401030502,12,East Branch Wallenpaupack,PA,10743.7,2019_2019,"14737,14777",nhdhr,NASA_NLDAS_2000_2019
92,Entire area,39973.5341021621,2360.214876727443,2438349.4731473625,10442.999999999998,subbasin,020401030503,12,020401030503,12,Headwaters Wallenpaupack Creek,PA,26047.93,2019_2019,"14737,14777",nhdhr,NASA_NLDAS_2000_2019
93,Entire area,11529.223985478917,1581.4946852282064,1032974.7499852368,3805.7999999999997,subbasin,020401030504,12,020401030504,12,Ariel Creek,PA,10311.44,2019_2019,"14737,14777",nhdhr,NASA_NLDAS_2000_2019
94,Entire area,42402.12740219414,1048.9676348672074,3522563.592001254,15453.399999999998,subbasin,020401030505,12,020401030505,12,Lake Wallenpaupack-Wallenpaupack Creek,PA,44239.78,2019_2019,"14737,14777",nhdhr,NASA_NLDAS_2000_2019
95,Entire area,78768.78257339822,6475.512167811356,6416117.336385412,32052.9,subbasin,0204010306,10,0204010306,10,Lackawaxen River,PA,80689.34,2019_2019,"14737,14777",nhdhr,NASA_NLDAS_2000_2019
96,Entire area,34210.981426907914,4511.924008500424,3434386.9716574196,11140.400000000003,subbasin,020401030601,12,020401030601,12,Carley Brook-Lackawaxen River,PA,27871.83,2019_2019,"14737,14777",nhdhr,NASA_NLDAS_2000_2019
97,Entire area,15198.692435301009,608.4771685685176,681011.0907845241,7622.5,subbasin,020401030602,12,020401030602,12,Blooming Grove Creek,PA,19205.9,2019_2019,"14737,14777",nhdhr,NASA_NLDAS_2000_2019
98,Entire area,29359.108711189292,1355.1109907424154,2300719.273943469,13289.999999999998,subbasin,020401030603,12,020401030603,12,Lackawaxen River-Delaware River,PA,33611.61,2019_2019,"14737,14777",nhdhr,NASA_NLDAS_2000_2019
99,Entire area,112733.8227384257,7032.066963295908,7722627.192985887,51965.79999999999,subbasin,0204010401,10,0204010401,10,Mongaup River,NY,133471.85,2019_2019,"14734,14777",nhdhr,NASA_NLDAS_2000_2019
100,Entire area,10647.728830358059,914.0683570873152,1021585.6879756481,4791.599999999999,subbasin,020401040101,12,020401040101,12,Middle Mongaup River,NY,11865.66,2019_2019,"14734,14777",nhdhr,NASA_NLDAS_2000_2019
101,Entire area,14028.910721632588,1220.960008536725,1276197.5286071312,6697.0999999999985,subbasin,020401040102,12,020401040102,12,East Mongaup River,NY,16685.55,2019_2019,"14734,14777",nhdhr,NASA_NLDAS_2000_2019
102,Entire area,13946.30440834213,1207.6811457424544,1172834.292547828,6861.0,subbasin,020401040103,12,020401040103,12,West Branch Mongaup River,NY,17286.62,2019_2019,"14734,14777",nhdhr,NASA_NLDAS_2000_2019
103,Entire area,29550.628079246253,1680.176266759052,2486519.950844236,11528.5,subbasin,020401040104,12,020401040104,12,Swinging Bridge Reservoir-Mongaup River,NY,29972.39,2019_2019,"14734,14777",nhdhr,NASA_NLDAS_2000_2019
104,Entire area,19578.619412770528,709.638795477241,804278.2506285899,9119.399999999998,subbasin,020401040105,12,020401040105,12,Black Lake Creek,NY,24546.29,2019_2019,"14734,14777",nhdhr,NASA_NLDAS_2000_2019
105,Entire area,9637.037585662234,584.9395753753302,423843.906306438,4951.2,subbasin,020401040106,12,020401040106,12,Black Brook,NY,12557.78,2019_2019,"14734,14777",nhdhr,NASA_NLDAS_2000_2019
106,Entire area,15344.593700413927,714.6028143177908,537367.5760760144,8017.000000000001,subbasin,020401040107,12,020401040107,12,Rio Reservoir-Mongaup River,NY,20557.56,2019_2019,"14734,14777",nhdhr,NASA_NLDAS_2000_2019
107,Entire area,50646.18980468927,2073.139860891082,1637400.5018307092,18464.1,subbasin,0204010402,10,0204010402,10,Basher Kill,NY,46404.17,2019_2019,"14734,94728",nhdhr,NASA_NLDAS_2000_2019
108,Entire area,27059.641663794333,975.8179712229921,728954.7293058283,6346.999999999999,subbasin,020401040201,12,020401040201,12,Gumaer Brook-Basher Kill,NY,15847.28,2019_2019,"14734,94728",nhdhr,NASA_NLDAS_2000_2019
109,Entire area,8710.691504069538,475.6352654279765,303612.93789776205,4239.299999999999,subbasin,020401040202,12,020401040202,12,Pine Kill,NY,10914.06,2019_2019,"14734,94728",nhdhr,NASA_NLDAS_2000_2019
110,Entire area,14875.856636825398,621.6866242401136,604832.8346271189,7877.800000000001,subbasin,020401040203,12,020401040203,12,Basher Kill,NY,19642.82,2019_2019,"14734,94728",nhdhr,NASA_NLDAS_2000_2019
111,Entire area,288710.0532707223,22762.38276171133,11893402.565080253,69869.59999999999,subbasin,0204010403,10,0204010403,10,Neversink River,"NJ,NY",177063.96,2019_2019,"14734,94728",nhdhr,NASA_NLDAS_2000_2019
112,Entire area,16705.22605541964,800.3340078094901,691641.2741189896,8907.099999999999,subbasin,020401040301,12,020401040301,12,West Branch Neversink River,NY,22047.19,2019_2019,"14735,14777",nhdhr,NASA_NLDAS_2000_2019
113,Entire area,12543.77345429408,620.3887301707168,468390.324147526,7137.6,subbasin,020401040302,12,020401040302,12,East Branch Neversink River,NY,17638.55,2019_2019,"14735,94728",nhdhr,NASA_NLDAS_2000_2019
114,Entire area,16458.850378531493,1074.8509391105335,1129303.7799246279,7325.0,subbasin,020401040303,12,020401040303,12,Neversink River,NY,19496.63,2019_2019,"14735,14777",nhdhr,NASA_NLDAS_2000_2019
115,Entire area,20323.757507585367,2579.8685702632974,2121883.3313896186,7538.000000000001,subbasin,020401040304,12,020401040304,12,Sheldrake Stream,NY,19408.28,2019_2019,"14734,14777",nhdhr,NASA_NLDAS_2000_2019
116,Entire area,59001.98112684291,13554.769372238043,3374694.559217269,11727.499999999998,subbasin,020401040305,12,020401040305,12,Upper Neversink River,NY,29639.99,2019_2019,"14734,94728",nhdhr,NASA_NLDAS_2000_2019
117,Entire area,8773.234518802445,387.50431839569785,191793.63420271693,4932.0,subbasin,020401040306,12,020401040306,12,Turner Brook-Bush Kill,NY,12395.92,2019_2019,"14734,94728",nhdhr,NASA_NLDAS_2000_2019
118,Entire area,94835.007273243,1846.2687335931787,1453825.8749344943,11158.7,subbasin,020401040307,12,020401040307,12,Middle Neversink River,NY,28479.91,2019_2019,"14734,94728",nhdhr,NASA_NLDAS_2000_2019
119,Entire area,54267.04463202122,1540.40982525679,2255952.5016585807,11143.699999999997,subbasin,020401040308,12,020401040308,12,Lower Neversink River,"NJ,NY",27957.48,2019_2019,"14734,94728",nhdhr,NASA_NLDAS_2000_2019
120,Entire area,44309.20506734132,2279.8968583063456,2690741.3980830167,21662.7,subbasin,0204010404,10,0204010404,10,Shohola Creek,PA,54675.59,2019_2019,"14737,14777",nhdhr,NASA_NLDAS_2000_2019
