,Source,Sediment,TotalN,TotalP,huc,gwlfe_endpoint,huc_level
62,Wetlands,63.8344533956115,30.4380221271932,1.6437891944142,020401010105,wikisrat,12
63,Subsurface Flow,,17285.2298096878,695.141317922232,020401010105,wikisrat,12
64,Stream Bank Erosion,1930496.46631389,1838.21880458451,529.874493778401,020401010105,wikisrat,12
65,Septic Systems,,61.2071807238121,0.0,020401010105,wikisrat,12
66,Open Land,1937.55347983708,62.6843658467039,3.22929233984303,020401010105,wikisrat,12
67,Hay/Pasture,134150.343069136,1826.27010270205,680.723743646567,020401010105,wikisrat,12
68,Low-Density Open Space,11953.5378803942,278.686547703664,29.8174586718958,020401010105,wikisrat,12
69,Barren Areas,1.0645268638482,0.750286350052725,0.0255317966468591,020401010105,wikisrat,12
70,Cropland,989.143743393125,12.790618470268,2.30516890504179,020401010105,wikisrat,12
71,Farm Animals,,2998.41373885552,635.350292780512,020401010105,wikisrat,12
72,Medium-Density Mixed,2425.65449843465,45.2688038101787,4.56610375268985,020401010105,wikisrat,12
73,High-Density Mixed,308.161560786896,5.75621243515123,0.579518462184307,020401010105,wikisrat,12
74,Low-Density Mixed,2392.1890951143,55.7404453937496,5.97089370858131,020401010105,wikisrat,12
75,Wooded Areas,8671.29425595774,643.216529560446,40.7725334801224,020401010106,wikisrat,12
76,Wetlands,115.12012819013,43.390238200446,2.34466214183696,020401010106,wikisrat,12
77,Subsurface Flow,,11368.0752094448,486.328563534434,020401010106,wikisrat,12
78,Stream Bank Erosion,1555530.34271489,1483.61367285124,409.919889635996,020401010106,wikisrat,12
79,Septic Systems,,243.179571819388,0.0,020401010106,wikisrat,12
80,Open Land,1388.91257212481,47.1905016597303,2.29181750194655,020401010106,wikisrat,12
81,Point Sources,,0.0,0.0,020401010106,wikisrat,12
82,Low-Density Mixed,3926.27713202942,98.534524527107,10.428582833754,020401010106,wikisrat,12
83,High-Density Mixed,3783.59002090026,82.0785043833374,8.35811028394838,020401010106,wikisrat,12
84,Hay/Pasture,191551.296124628,2247.40530817485,796.059527643427,020401010106,wikisrat,12
85,Farm Animals,,1974.38964827565,416.336619091471,020401010106,wikisrat,12
86,Cropland,10946.4956485016,165.73118561875,27.6849108778205,020401010106,wikisrat,12
87,Barren Areas,1.86782136699145,0.775762429132788,0.0274361003547881,020401010106,wikisrat,12
88,Low-Density Open Space,9152.63317715202,229.961944465024,24.2793591134337,020401010106,wikisrat,12
89,Medium-Density Mixed,8744.50662871967,189.843668599057,19.3006354082794,020401010106,wikisrat,12
90,Open Land,1150.43994870001,36.6885144845682,1.84882970836689,020401010201,wikisrat,12
91,Wooded Areas,11818.5529400842,809.252233299639,51.0751067471682,020401010201,wikisrat,12
92,Wetlands,131.021872265193,53.36458222762,2.84917113737575,020401010201,wikisrat,12
93,Subsurface Flow,,12413.6097137034,503.205486823474,020401010201,wikisrat,12
94,Stream Bank Erosion,968798.47098497,972.394556585867,255.18107647979,020401010201,wikisrat,12
95,Septic Systems,,75.6124072718317,0.0,020401010201,wikisrat,12
96,Point Sources,,30271.7687163192,15.9172830381445,020401010201,wikisrat,12
97,Medium-Density Mixed,2618.80555476943,59.6861488285796,5.95020038466703,020401010201,wikisrat,12
98,Low-Density Mixed,1747.63783677563,41.5556841959091,4.34205997566917,020401010201,wikisrat,12
99,High-Density Mixed,1412.45053818192,32.0849585761065,3.22103183291442,020401010201,wikisrat,12
100,Hay/Pasture,154701.01073417,2030.01478165665,708.398017310343,020401010201,wikisrat,12
101,Farm Animals,,1778.13691897439,372.137387764114,020401010201,wikisrat,12
102,Cropland,17797.6703445493,192.538352684616,34.085483799429,020401010201,wikisrat,12
103,Barren Areas,5.54671929417025,2.06816767092498,0.0726500284152101,020401010201,wikisrat,12
104,Low-Density Open Space,6062.13657057374,144.182207835661,15.0572022922904,020401010201,wikisrat,12
105,Wooded Areas,12810.7544065702,1084.86062474139,49.4036011021824,020401010202,wikisrat,12
106,Wetlands,70.2900707292718,31.5112216373353,1.20310888325042,020401010202,wikisrat,12
107,Subsurface Flow,,29097.3225895182,466.687931997771,020401010202,wikisrat,12
108,Stream Bank Erosion,826891.326991852,671.127540439693,187.194665205286,020401010202,wikisrat,12
109,Septic Systems,,57.0601968139004,0.0,020401010202,wikisrat,12
110,Point Sources,,0.0,0.0,020401010202,wikisrat,12
111,Open Land,880.419032936542,33.7597331313481,1.35274391288476,020401010202,wikisrat,12
112,Medium-Density Mixed,1943.85548078773,43.8227212585877,3.22113831047921,020401010202,wikisrat,12
113,Low-Density Mixed,1421.41021368825,38.7764385962254,2.93772318871487,020401010202,wikisrat,12
114,High-Density Mixed,396.199856391137,8.53480140275526,0.695593977733258,020401010202,wikisrat,12
115,Hay/Pasture,110283.183988412,1637.12818009306,432.624431431336,020401010202,wikisrat,12
116,Farm Animals,,1762.38947521143,272.234362510122,020401010202,wikisrat,12
117,Cropland,10496.6646925794,120.065607202454,16.1479059688134,020401010202,wikisrat,12
118,Barren Areas,2.31813294569394,1.58487859367083,0.0369360989132976,020401010202,wikisrat,12
119,Low-Density Open Space,5555.90081670947,152.263159990713,11.4173631123408,020401010202,wikisrat,12
120,Point Sources,,0.0,0.0,020401010203,wikisrat,12
121,Wooded Areas,9991.04919478223,858.698832259677,53.6807326157881,020401010203,wikisrat,12
122,Wetlands,47.5209341450533,25.8477857815966,1.37925225779275,020401010203,wikisrat,12
123,Subsurface Flow,,10256.8279637031,441.453717734644,020401010203,wikisrat,12
124,Stream Bank Erosion,836250.0954794,824.938681373552,228.322378719515,020401010203,wikisrat,12
125,Septic Systems,,59.5994382006454,0.0,020401010203,wikisrat,12
126,Open Land,1710.21232703391,27.947340126437,2.296345807407,020401010203,wikisrat,12
127,Hay/Pasture,140611.109178946,1762.02341187515,640.227862896895,020401010203,wikisrat,12
128,Low-Density Open Space,5641.44910375918,131.30859230199,14.0882176462904,020401010203,wikisrat,12
129,Low-Density Mixed,1482.28514639109,34.4439376601844,3.70843739311561,020401010203,wikisrat,12
130,High-Density Mixed,559.774114528863,11.1568413255237,1.13735015109162,020401010203,wikisrat,12
131,Farm Animals,,1486.26927942494,316.357401163748,020401010203,wikisrat,12
132,Cropland,34.390314840615,0.634201872604287,0.105339081850896,020401010203,wikisrat,12
133,Barren Areas,0.0629906861456789,0.0616971299145634,0.00208483477811041,020401010203,wikisrat,12
134,Medium-Density Mixed,2252.15031508592,44.8925081769765,4.57536547080098,020401010203,wikisrat,12
135,Farm Animals,,1305.89937206408,218.349555986571,020401010204,wikisrat,12
136,High-Density Mixed,888.4610577668,20.0205982413419,1.74095717008205,020401010204,wikisrat,12
137,Low-Density Mixed,1980.29622899631,53.7036739233868,4.72757691616623,020401010204,wikisrat,12
138,Low-Density Open Space,4165.09526980442,113.363658463996,9.88193289371803,020401010204,wikisrat,12
139,Medium-Density Mixed,2607.63588421962,58.444672767704,5.14549968738953,020401010204,wikisrat,12
140,Septic Systems,,75.0005386580032,0.0,020401010204,wikisrat,12
141,Point Sources,,6.78457936627809,0.446179522815056,020401010204,wikisrat,12
142,Cropland,20932.0366583832,326.866681129694,47.6940459999863,020401010204,wikisrat,12
143,Stream Bank Erosion,582434.231942771,534.963553423872,144.802164836537,020401010204,wikisrat,12
144,Subsurface Flow,,28541.366218184,422.729949544331,020401010204,wikisrat,12
145,Wetlands,88.7961539899403,29.4136891020732,1.35038433445575,020401010204,wikisrat,12
146,Wooded Areas,14421.0155591557,690.013579456258,40.0376548362596,020401010204,wikisrat,12
147,Open Land,986.874799506601,15.0420602054993,1.24853231545824,020401010204,wikisrat,12
148,Barren Areas,12.2686360204837,3.21961858164072,0.0963997828268695,020401010204,wikisrat,12
149,Hay/Pasture,71046.6816214948,960.194638654891,270.79117514972,020401010204,wikisrat,12
150,Wetlands,108.18018924592,55.4081222717286,2.41855854280085,020401010205,wikisrat,12
151,Stream Bank Erosion,2305975.67867318,2003.57721464696,596.11904156906,020401010205,wikisrat,12
152,Septic Systems,,253.866298267086,0.0,020401010205,wikisrat,12
153,Subsurface Flow,,27693.0439022302,790.320133423556,020401010205,wikisrat,12
154,Point Sources,,13269.1729450615,282.695307466819,020401010205,wikisrat,12
155,Open Land,1540.99075206457,45.7824842222598,2.43326406811056,020401010205,wikisrat,12
156,Medium-Density Mixed,8099.63309250152,198.915612923486,16.0913642520272,020401010205,wikisrat,12
157,Low-Density Open Space,10747.683570271,285.78413851021,25.611448595788,020401010205,wikisrat,12
158,Low-Density Mixed,4489.90665773803,121.018727638235,10.529598651166,020401010205,wikisrat,12
159,High-Density Mixed,3769.48400660256,93.4581023357678,7.40280196781523,020401010205,wikisrat,12
160,Hay/Pasture,172328.534887724,2617.61936143903,820.732107163656,020401010205,wikisrat,12
161,Farm Animals,,2882.81236960329,503.093165160483,020401010205,wikisrat,12
162,Cropland,12760.0940691625,134.557360413544,23.1734144292846,020401010205,wikisrat,12
163,Barren Areas,12.6322856013108,5.17963091672549,0.155005174387049,020401010205,wikisrat,12
164,Wooded Areas,22160.1235728936,1382.77287850457,81.3527402969014,020401010205,wikisrat,12
165,Barren Areas,45.0827614131098,34.156349519627,1.08114371524623,020401010206,wikisrat,12
166,Subsurface Flow,,20682.5871660794,662.238365797756,020401010206,wikisrat,12
167,Stream Bank Erosion,1774101.35654663,1514.96553839707,483.599536533776,020401010206,wikisrat,12
168,Septic Systems,,86.0628982540449,0.0,020401010206,wikisrat,12
169,Point Sources,,275.856475182464,17.3017887950525,020401010206,wikisrat,12
170,Open Land,1048.08294202197,51.3886112688831,2.07114203366341,020401010206,wikisrat,12
171,Low-Density Open Space,8857.16305069401,235.109555671258,20.0992397656935,020401010206,wikisrat,12
172,Low-Density Mixed,2980.39281062411,79.5276669338499,6.72246487872109,020401010206,wikisrat,12
173,High-Density Mixed,830.712552199415,19.371175577886,1.48501617337215,020401010206,wikisrat,12
174,Hay/Pasture,133549.421108593,2583.81061773542,848.977040351269,020401010206,wikisrat,12
175,Farm Animals,,2906.44201298206,488.580239826721,020401010206,wikisrat,12
176,Cropland,2181.56201789286,28.4103427213242,4.42523067873629,020401010206,wikisrat,12
177,Wetlands,130.99206745917,65.5136077788247,2.80745413952925,020401010206,wikisrat,12
178,Wooded Areas,20196.4316098053,2081.31754431122,106.438819656089,020401010206,wikisrat,12
179,Medium-Density Mixed,2873.14160430326,66.0100544392356,5.22746196094376,020401010206,wikisrat,12
180,Medium-Density Mixed,1541.26535001987,37.4544031071248,2.36325105288317,020401010207,wikisrat,12
181,Point Sources,,0.0,0.0,020401010207,wikisrat,12
182,Open Land,2055.99503770611,94.0560757947982,3.55007217305723,020401010207,wikisrat,12
183,Subsurface Flow,,44912.4736838381,705.397647531925,020401010207,wikisrat,12
184,Low-Density Open Space,4522.56806507323,138.437517498226,8.48530703129136,020401010207,wikisrat,12
185,Low-Density Mixed,1392.8002208779,40.5870771236383,2.78229124356763,020401010207,wikisrat,12
186,High-Density Mixed,319.973470707537,7.33230241660984,0.523752822577537,020401010207,wikisrat,12
187,Hay/Pasture,19614.3612814757,477.169345620769,115.829952275935,020401010207,wikisrat,12
188,Farm Animals,,3056.47237453839,371.724886169751,020401010207,wikisrat,12
189,Cropland,0.0,0.0,0.0,020401010207,wikisrat,12
190,Barren Areas,123.473670336287,89.9874844187962,2.12982803390731,020401010207,wikisrat,12
191,Wetlands,98.7603334020179,46.9194136037067,1.46865101283673,020401010207,wikisrat,12
192,Septic Systems,,51.8418044488705,0.0,020401010207,wikisrat,12
193,Wooded Areas,26554.5793784481,1690.44886247115,75.2042877536058,020401010207,wikisrat,12
194,Stream Bank Erosion,1168391.82588869,875.013926154135,284.915978679616,020401010207,wikisrat,12
195,Cropland,9043.25737553135,105.116360410436,23.9930138883438,020401010301,wikisrat,12
196,Farm Animals,,1837.80378730693,392.321436890806,020401010301,wikisrat,12
197,High-Density Mixed,172.745748977631,3.24918830683717,0.32678781156969,020401010301,wikisrat,12
198,Low-Density Mixed,1286.02088239102,29.6560895865944,3.19049527987319,020401010301,wikisrat,12
199,Low-Density Open Space,5350.52527746681,123.550485657623,13.2545649539607,020401010301,wikisrat,12
200,Medium-Density Mixed,1263.90971213315,23.7466919976517,2.39389045218133,020401010301,wikisrat,12
201,Open Land,1074.23613862232,31.4362245308975,2.01033354366711,020401010301,wikisrat,12
202,Point Sources,,0.0,0.0,020401010301,wikisrat,12
203,Septic Systems,,33.8244886344493,0.0,020401010301,wikisrat,12
204,Stream Bank Erosion,588668.140829448,493.702023875568,199.265274696765,020401010301,wikisrat,12
205,Subsurface Flow,,12621.5774837342,508.532506282614,020401010301,wikisrat,12
206,Barren Areas,1.16023928973992,0.804918048141897,0.028061180609708,020401010301,wikisrat,12
207,Hay/Pasture,82963.3178814312,880.451947797399,396.102265476647,020401010301,wikisrat,12
208,Wooded Areas,19922.3490874392,1437.29246584979,98.5506062455381,020401010301,wikisrat,12
209,Wetlands,105.695733881921,40.1885258321041,2.21142979026008,020401010301,wikisrat,12
210,Wooded Areas,16784.9787840663,1105.18499545924,76.0452054014611,020401010302,wikisrat,12
211,Wetlands,248.953590962898,77.5334389465906,4.14575413483972,020401010302,wikisrat,12
212,Subsurface Flow,,49563.9776903321,852.864437828185,020401010302,wikisrat,12
213,Stream Bank Erosion,890865.256549818,842.388456281279,318.716168168922,020401010302,wikisrat,12
214,Septic Systems,,19.2789882771687,0.0,020401010302,wikisrat,12
215,Point Sources,,0.0,0.0,020401010302,wikisrat,12
216,Cropland,34997.1132339918,313.972657002532,80.5440885197923,020401010302,wikisrat,12
217,Low-Density Open Space,7739.53446715817,167.441612398738,17.2799300702562,020401010302,wikisrat,12
218,Barren Areas,16.9169449153481,6.20726798382708,0.22326574510472,020401010302,wikisrat,12
219,Low-Density Mixed,502.229261520322,10.9569423541018,1.11136631114632,020401010302,wikisrat,12
220,High-Density Mixed,14.8867089526001,0.259357038026337,0.0257117517321689,020401010302,wikisrat,12
221,Hay/Pasture,153009.196222455,1337.81318638804,572.389938282419,020401010302,wikisrat,12
222,Farm Animals,,2769.61241636508,575.895900557751,020401010302,wikisrat,12
223,Medium-Density Mixed,787.445462990056,13.9786418931172,1.33307006012527,020401010302,wikisrat,12
224,Open Land,1021.60868384017,32.1980494760457,2.02008261220485,020401010302,wikisrat,12
225,Wetlands,100.944767765661,42.4215496068652,2.30896363589153,020401010303,wikisrat,12
226,Point Sources,,0.0,0.0,020401010303,wikisrat,12
227,Barren Areas,32.1212218926356,11.0354320980041,0.406490571032136,020401010303,wikisrat,12
228,Cropland,25658.5266734448,249.121457165768,69.2895256538849,020401010303,wikisrat,12
229,Farm Animals,,2498.39833904954,537.101006926985,020401010303,wikisrat,12
230,Hay/Pasture,134296.220895078,1169.56075962989,574.8408542566,020401010303,wikisrat,12
231,High-Density Mixed,383.903093541847,6.93121429078282,0.693753714469476,020401010303,wikisrat,12
232,Low-Density Mixed,2485.74638035625,58.6020922470065,6.19858153951252,020401010303,wikisrat,12
233,Low-Density Open Space,8860.43108419203,209.32404178957,22.0441929405694,020401010303,wikisrat,12
234,Medium-Density Mixed,5265.88052590266,95.5079979757758,9.46872532542528,020401010303,wikisrat,12
235,Open Land,1131.04126380934,18.4894095244535,2.13642409041253,020401010303,wikisrat,12
236,Wooded Areas,16915.4993675285,1032.40465242177,77.1736007212254,020401010303,wikisrat,12
237,Septic Systems,,136.803291645545,0.0,020401010303,wikisrat,12
238,Stream Bank Erosion,819559.953388746,760.345518131471,332.407463695938,020401010303,wikisrat,12
239,Subsurface Flow,,20240.414250084,655.437278998671,020401010303,wikisrat,12
240,Point Sources,,1305.23526276468,150.395509186307,020401010304,wikisrat,12
241,Stream Bank Erosion,591132.142231005,443.291520993001,178.37363735933,020401010304,wikisrat,12
242,Open Land,712.831536207898,16.888419844616,1.22298898747828,020401010304,wikisrat,12
243,Wetlands,54.5303074422505,22.2807444715577,0.859680340571734,020401010304,wikisrat,12
244,Wooded Areas,9228.08024917737,582.812278355511,31.2079650950497,020401010304,wikisrat,12
245,Subsurface Flow,,19642.3075707166,303.056083327625,020401010304,wikisrat,12
246,Medium-Density Mixed,8712.57881376513,215.577638779785,14.8448126958084,020401010304,wikisrat,12
247,Septic Systems,,284.579302500278,0.0,020401010304,wikisrat,12
248,Low-Density Mixed,2888.09385695469,88.8405924324999,6.2727139746193,020401010304,wikisrat,12
249,High-Density Mixed,2698.60530092634,67.3341476287641,4.54559413823459,020401010304,wikisrat,12
250,Low-Density Open Space,4838.44301254853,148.185008311635,10.5727351482608,020401010304,wikisrat,12
251,Hay/Pasture,139536.398152856,1422.22670834722,430.565226216514,020401010304,wikisrat,12
252,Farm Animals,,1429.59853594844,202.173796018048,020401010304,wikisrat,12
253,Cropland,55942.3697277642,687.810914887903,111.505361836172,020401010304,wikisrat,12
254,Barren Areas,25.3809352974326,7.5470080143635,0.203057631388636,020401010304,wikisrat,12
255,Wooded Areas,13891.3914469481,1315.71870039016,66.8672014220314,020401010305,wikisrat,12
256,Wetlands,138.746716074564,68.3449958153815,2.72249081961599,020401010305,wikisrat,12
257,Subsurface Flow,,15553.8928118583,445.057439890258,020401010305,wikisrat,12
258,Stream Bank Erosion,978387.686980849,745.74153047198,309.119501199618,020401010305,wikisrat,12
259,Septic Systems,,134.886899789074,0.0,020401010305,wikisrat,12
260,Point Sources,,859.125731062668,48.1231932941793,020401010305,wikisrat,12
261,Open Land,503.389082849178,22.027547227786,1.0505540539718,020401010305,wikisrat,12
262,Medium-Density Mixed,4897.60752513699,96.9926938059771,8.10626153139852,020401010305,wikisrat,12
263,Low-Density Open Space,7072.66050329291,186.963893545131,14.3690696400402,020401010305,wikisrat,12
264,Low-Density Mixed,1387.58813492437,35.4279090494966,2.94189840997266,020401010305,wikisrat,12
265,High-Density Mixed,400.969203678377,7.99424330578452,0.658402900030011,020401010305,wikisrat,12
266,Hay/Pasture,57375.9190597273,694.025515715492,230.879419286083,020401010305,wikisrat,12
267,Farm Animals,,2441.60732129991,376.744359542008,020401010305,wikisrat,12
268,Cropland,6462.21716811181,118.44085249606,21.1993859763833,020401010305,wikisrat,12
269,Barren Areas,35.4588804110143,11.9890259769172,0.350302206104677,020401010305,wikisrat,12
270,Wooded Areas,12773.529075028,972.090312181425,63.3831383706606,020401010306,wikisrat,12
271,Wetlands,53.7112991058882,15.6502085913386,0.852446621532597,020401010306,wikisrat,12
272,Subsurface Flow,,7255.91398015307,282.136938720432,020401010306,wikisrat,12
273,Stream Bank Erosion,301723.592361109,293.785597840959,97.2799992850859,020401010306,wikisrat,12
274,Septic Systems,,46.6703308507568,0.0,020401010306,wikisrat,12
275,Point Sources,,0.0,0.0,020401010306,wikisrat,12
276,Open Land,1548.81884720432,47.0857824898467,2.80901740878046,020401010306,wikisrat,12
277,Medium-Density Mixed,1740.39648297239,34.8152553948825,3.51278492159817,020401010306,wikisrat,12
278,Low-Density Open Space,3160.17043525042,74.5347525436003,7.83817963007947,020401010306,wikisrat,12
279,Low-Density Mixed,864.844993271887,20.3555188428318,2.15008273769962,020401010306,wikisrat,12
280,High-Density Mixed,429.700818577035,8.57226370839378,0.869918269891159,020401010306,wikisrat,12
281,Hay/Pasture,41216.6429214918,601.187705667156,247.928144192549,020401010306,wikisrat,12
282,Farm Animals,,1066.27930545603,219.107930936963,020401010306,wikisrat,12
283,Cropland,0.0,0.0,0.0,020401010306,wikisrat,12
284,Barren Areas,5.8153292047715,2.42512425850635,0.0863072562980113,020401010306,wikisrat,12
285,Wooded Areas,12122.9159532236,1196.45159872547,69.1506908912096,020401010307,wikisrat,12
286,Wetlands,207.332378537591,105.343583060652,5.08982326330998,020401010307,wikisrat,12
287,Subsurface Flow,,14955.9123720325,538.092174414828,020401010307,wikisrat,12
288,Stream Bank Erosion,1238321.07735278,996.325012648564,385.186366497168,020401010307,wikisrat,12
289,Septic Systems,,158.649057244427,0.0,020401010307,wikisrat,12
290,Point Sources,,0.0,0.0,020401010307,wikisrat,12
291,Open Land,1197.7642920419,40.7815917347334,2.22368491012969,020401010307,wikisrat,12
292,Medium-Density Mixed,5783.20203169272,115.725777590588,10.7383732958658,020401010307,wikisrat,12
293,Low-Density Open Space,9554.58982180858,230.242130939527,22.132809949099,020401010307,wikisrat,12
294,Low-Density Mixed,2081.32179286466,49.8532908188812,4.85437909517546,020401010307,wikisrat,12
295,High-Density Mixed,1024.23931635887,20.3735363266261,1.91478017905098,020401010307,wikisrat,12
296,Hay/Pasture,96544.8539216573,1605.90241180692,637.360498778945,020401010307,wikisrat,12
297,Farm Animals,,2537.29885790118,491.335485512844,020401010307,wikisrat,12
298,Cropland,0.0,0.0,0.0,020401010307,wikisrat,12
299,Barren Areas,13.8585875760697,6.90554425842757,0.224990970208093,020401010307,wikisrat,12
300,Wooded Areas,4347.01957338014,962.771420360092,51.3310308848288,020401010401,wikisrat,12
301,Wetlands,255.008005850417,166.116625431454,8.33238921622711,020401010401,wikisrat,12
302,Subsurface Flow,,8708.13462553708,325.098603885689,020401010401,wikisrat,12
303,Stream Bank Erosion,768323.670360262,630.125813083382,217.379647308241,020401010401,wikisrat,12
304,Septic Systems,,72.2260698556705,0.0,020401010401,wikisrat,12
305,Point Sources,,745.404146218004,104.72106583709,020401010401,wikisrat,12
306,Open Land,1996.89793257687,57.0163132176655,3.27123019572881,020401010401,wikisrat,12
307,Medium-Density Mixed,2609.75413935414,50.6446922099937,4.70289524577053,020401010401,wikisrat,12
308,Low-Density Open Space,6673.83159935236,154.25375924086,15.4713006775321,020401010401,wikisrat,12
309,Low-Density Mixed,1089.40869542331,25.2848324097344,2.51384410777246,020401010401,wikisrat,12
310,High-Density Mixed,329.494705913544,6.39221706385635,0.594009324888463,020401010401,wikisrat,12
311,Hay/Pasture,95279.1366925832,1422.45427217421,542.337743868165,020401010401,wikisrat,12
312,Farm Animals,,1632.29097072294,332.885708668088,020401010401,wikisrat,12
313,Cropland,175.196377421624,2.99074088097658,0.522025172047544,020401010401,wikisrat,12
314,Barren Areas,11.0625898499361,7.87953558168835,0.255822393275809,020401010401,wikisrat,12
315,Wooded Areas,6527.15493610736,1615.79396526645,65.9709848522322,020401010402,wikisrat,12
316,Wetlands,244.772850636899,231.464967030726,8.02223565792133,020401010402,wikisrat,12
317,Subsurface Flow,,13004.1921952965,359.400293322452,020401010402,wikisrat,12
318,Stream Bank Erosion,899349.608367444,623.44496410276,215.602487585858,020401010402,wikisrat,12
