,Source,Sediment,TotalN,TotalP,huc,gwlfe_endpoint,huc_level,huc_run,huc_run_level,huc_run_name,huc_run_states,huc_run_areaacres,land_use_source,closest_weather_stations,stream_layer,weather_source
30,Point Sources,,0.0,0.0,020401010103,wikisrat,12,020401010103,12,Rose Brook-West Branch Delaware River,NY,16327.17,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
31,Wooded Areas,12415.2767225041,570.870683541905,40.7788561094033,020401010103,wikisrat,12,020401010103,12,Rose Brook-West Branch Delaware River,NY,16327.17,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
32,Wetlands,73.7673168921807,28.1586458477487,1.53899025419108,020401010103,wikisrat,12,020401010103,12,Rose Brook-West Branch Delaware River,NY,16327.17,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
33,Subsurface Flow,,35180.5985398254,546.285925490953,020401010103,wikisrat,12,020401010103,12,Rose Brook-West Branch Delaware River,NY,16327.17,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
34,Stream Bank Erosion,562724.752873968,550.898980434856,152.143581239229,020401010103,wikisrat,12,020401010103,12,Rose Brook-West Branch Delaware River,NY,16327.17,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
35,Septic Systems,,37.0531880788333,0.0,020401010103,wikisrat,12,020401010103,12,Rose Brook-West Branch Delaware River,NY,16327.17,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
36,Open Land,1364.01735551592,17.0304798194814,1.71401965894136,020401010103,wikisrat,12,020401010103,12,Rose Brook-West Branch Delaware River,NY,16327.17,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
37,Hay/Pasture,110670.99922772,1316.06399077799,476.307147394463,020401010103,wikisrat,12,020401010103,12,Rose Brook-West Branch Delaware River,NY,16327.17,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
38,Low-Density Open Space,4252.52451971559,100.564676893822,10.7799103571329,020401010103,wikisrat,12,020401010103,12,Rose Brook-West Branch Delaware River,NY,16327.17,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
39,Low-Density Mixed,1021.43774432671,24.1554592110272,2.58925593999114,020401010103,wikisrat,12,020401010103,12,Rose Brook-West Branch Delaware River,NY,16327.17,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
40,High-Density Mixed,142.95345125276,2.61284630549677,0.264018199912632,020401010103,wikisrat,12,020401010103,12,Rose Brook-West Branch Delaware River,NY,16327.17,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
41,Farm Animals,,1463.878692848,311.522704464468,020401010103,wikisrat,12,020401010103,12,Rose Brook-West Branch Delaware River,NY,16327.17,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
42,Cropland,25027.3578254252,352.901923992318,61.1687611133669,020401010103,wikisrat,12,020401010103,12,Rose Brook-West Branch Delaware River,NY,16327.17,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
43,Barren Areas,17.7226350701846,4.28335389081016,0.158923757399744,020401010103,wikisrat,12,020401010103,12,Rose Brook-West Branch Delaware River,NY,16327.17,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
44,Medium-Density Mixed,1472.47648759702,26.9124098170076,2.71959428072285,020401010103,wikisrat,12,020401010103,12,Rose Brook-West Branch Delaware River,NY,16327.17,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
45,Wooded Areas,10721.1404325006,591.531496664401,40.2956077113048,020401010104,wikisrat,12,020401010104,12,Kidd Brook-West Branch Delaware River,NY,17537.2,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
46,Wetlands,89.4110680078197,33.3271190893803,1.81531161211059,020401010104,wikisrat,12,020401010104,12,Kidd Brook-West Branch Delaware River,NY,17537.2,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
47,Subsurface Flow,,25355.2733185177,504.344847791426,020401010104,wikisrat,12,020401010104,12,Kidd Brook-West Branch Delaware River,NY,17537.2,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
48,Stream Bank Erosion,726660.630752566,667.806161723208,195.189634806338,020401010104,wikisrat,12,020401010104,12,Kidd Brook-West Branch Delaware River,NY,17537.2,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
49,Septic Systems,,70.8723373754497,0.0,020401010104,wikisrat,12,020401010104,12,Kidd Brook-West Branch Delaware River,NY,17537.2,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
50,Point Sources,,0.0,0.0,020401010104,wikisrat,12,020401010104,12,Kidd Brook-West Branch Delaware River,NY,17537.2,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
51,Open Land,2114.18849528965,51.8753539572695,3.15330438314889,020401010104,wikisrat,12,020401010104,12,Kidd Brook-West Branch Delaware River,NY,17537.2,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
52,Medium-Density Mixed,2762.46172296607,52.1068199705664,5.25765311446303,020401010104,wikisrat,12,020401010104,12,Kidd Brook-West Branch Delaware River,NY,17537.2,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
53,Low-Density Mixed,1836.07830608955,44.8203165973925,4.77034815351283,020401010104,wikisrat,12,020401010104,12,Kidd Brook-West Branch Delaware River,NY,17537.2,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
54,High-Density Mixed,398.914825025346,7.51850021691155,0.759903120501313,020401010104,wikisrat,12,020401010104,12,Kidd Brook-West Branch Delaware River,NY,17537.2,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
55,Hay/Pasture,119227.7947027,1347.17651608032,490.970734925132,020401010104,wikisrat,12,020401010104,12,Kidd Brook-West Branch Delaware River,NY,17537.2,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
56,Farm Animals,,1570.88370130494,332.943815362922,020401010104,wikisrat,12,020401010104,12,Kidd Brook-West Branch Delaware River,NY,17537.2,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
57,Cropland,36393.2355660714,474.579707573989,84.2388986822514,020401010104,wikisrat,12,020401010104,12,Kidd Brook-West Branch Delaware River,NY,17537.2,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
58,Barren Areas,1.89407299746582,0.600872579908774,0.0216742504517295,020401010104,wikisrat,12,020401010104,12,Kidd Brook-West Branch Delaware River,NY,17537.2,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
59,Low-Density Open Space,5569.90260942143,135.99783232379,14.4675746446454,020401010104,wikisrat,12,020401010104,12,Kidd Brook-West Branch Delaware River,NY,17537.2,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
60,Point Sources,,0.0,0.0,020401010105,wikisrat,12,020401010105,12,Little Delaware River,NY,33390.3,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
61,Wooded Areas,20649.7840416799,1229.12589656607,82.5952544826996,020401010105,wikisrat,12,020401010105,12,Little Delaware River,NY,33390.3,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
62,Wetlands,63.8344533956115,30.4380221271932,1.6437891944142,020401010105,wikisrat,12,020401010105,12,Little Delaware River,NY,33390.3,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
63,Subsurface Flow,,17285.2298096878,695.141317922232,020401010105,wikisrat,12,020401010105,12,Little Delaware River,NY,33390.3,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
64,Stream Bank Erosion,1930496.46631389,1838.21880458451,529.874493778401,020401010105,wikisrat,12,020401010105,12,Little Delaware River,NY,33390.3,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
65,Septic Systems,,61.2071807238121,0.0,020401010105,wikisrat,12,020401010105,12,Little Delaware River,NY,33390.3,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
66,Open Land,1937.55347983708,62.6843658467039,3.22929233984303,020401010105,wikisrat,12,020401010105,12,Little Delaware River,NY,33390.3,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
67,Hay/Pasture,134150.343069136,1826.27010270205,680.723743646567,020401010105,wikisrat,12,020401010105,12,Little Delaware River,NY,33390.3,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
68,Low-Density Open Space,11953.5378803942,278.686547703664,29.8174586718958,020401010105,wikisrat,12,020401010105,12,Little Delaware River,NY,33390.3,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
69,Barren Areas,1.0645268638482,0.750286350052725,0.0255317966468591,020401010105,wikisrat,12,020401010105,12,Little Delaware River,NY,33390.3,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
70,Cropland,989.143743393125,12.790618470268,2.30516890504179,020401010105,wikisrat,12,020401010105,12,Little Delaware River,NY,33390.3,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
71,Farm Animals,,2998.41373885552,635.350292780512,020401010105,wikisrat,12,020401010105,12,Little Delaware River,NY,33390.3,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
72,Medium-Density Mixed,2425.65449843465,45.2688038101787,4.56610375268985,020401010105,wikisrat,12,020401010105,12,Little Delaware River,NY,33390.3,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
73,High-Density Mixed,308.161560786896,5.75621243515123,0.579518462184307,020401010105,wikisrat,12,020401010105,12,Little Delaware River,NY,33390.3,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
74,Low-Density Mixed,2392.1890951143,55.7404453937496,5.97089370858131,020401010105,wikisrat,12,020401010105,12,Little Delaware River,NY,33390.3,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
75,Wooded Areas,8671.29425595774,643.216529560446,40.7725334801224,020401010106,wikisrat,12,020401010106,12,Elk Brook-West Branch Delaware River,NY,21931.82,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
76,Wetlands,115.12012819013,43.390238200446,2.34466214183696,020401010106,wikisrat,12,020401010106,12,Elk Brook-West Branch Delaware River,NY,21931.82,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
77,Subsurface Flow,,11368.0752094448,486.328563534434,020401010106,wikisrat,12,020401010106,12,Elk Brook-West Branch Delaware River,NY,21931.82,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
78,Stream Bank Erosion,1555530.34271489,1483.61367285124,409.919889635996,020401010106,wikisrat,12,020401010106,12,Elk Brook-West Branch Delaware River,NY,21931.82,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
79,Septic Systems,,243.179571819388,0.0,020401010106,wikisrat,12,020401010106,12,Elk Brook-West Branch Delaware River,NY,21931.82,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
80,Open Land,1388.91257212481,47.1905016597303,2.29181750194655,020401010106,wikisrat,12,020401010106,12,Elk Brook-West Branch Delaware River,NY,21931.82,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
81,Point Sources,,0.0,0.0,020401010106,wikisrat,12,020401010106,12,Elk Brook-West Branch Delaware River,NY,21931.82,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
82,Low-Density Mixed,3926.27713202942,98.534524527107,10.428582833754,020401010106,wikisrat,12,020401010106,12,Elk Brook-West Branch Delaware River,NY,21931.82,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
83,High-Density Mixed,3783.59002090026,82.0785043833374,8.35811028394838,020401010106,wikisrat,12,020401010106,12,Elk Brook-West Branch Delaware River,NY,21931.82,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
84,Hay/Pasture,191551.296124628,2247.40530817485,796.059527643427,020401010106,wikisrat,12,020401010106,12,Elk Brook-West Branch Delaware River,NY,21931.82,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
85,Farm Animals,,1974.38964827565,416.336619091471,020401010106,wikisrat,12,020401010106,12,Elk Brook-West Branch Delaware River,NY,21931.82,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
86,Cropland,10946.4956485016,165.73118561875,27.6849108778205,020401010106,wikisrat,12,020401010106,12,Elk Brook-West Branch Delaware River,NY,21931.82,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
87,Barren Areas,1.86782136699145,0.775762429132788,0.0274361003547881,020401010106,wikisrat,12,020401010106,12,Elk Brook-West Branch Delaware River,NY,21931.82,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
88,Low-Density Open Space,9152.63317715202,229.961944465024,24.2793591134337,020401010106,wikisrat,12,020401010106,12,Elk Brook-West Branch Delaware River,NY,21931.82,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
89,Medium-Density Mixed,8744.50662871967,189.843668599057,19.3006354082794,020401010106,wikisrat,12,020401010106,12,Elk Brook-West Branch Delaware River,NY,21931.82,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
90,Open Land,1150.43994870001,36.6885144845682,1.84882970836689,020401010201,wikisrat,12,020401010201,12,Platner Brook-West Branch Delaware River,NY,19160.46,2019_2019,"4725,14777",nhdhr,NASA_NLDAS_2000_2019
91,Wooded Areas,11818.5529400842,809.252233299639,51.0751067471682,020401010201,wikisrat,12,020401010201,12,Platner Brook-West Branch Delaware River,NY,19160.46,2019_2019,"4725,14777",nhdhr,NASA_NLDAS_2000_2019
92,Wetlands,131.021872265193,53.36458222762,2.84917113737575,020401010201,wikisrat,12,020401010201,12,Platner Brook-West Branch Delaware River,NY,19160.46,2019_2019,"4725,14777",nhdhr,NASA_NLDAS_2000_2019
93,Subsurface Flow,,12413.6097137034,503.205486823474,020401010201,wikisrat,12,020401010201,12,Platner Brook-West Branch Delaware River,NY,19160.46,2019_2019,"4725,14777",nhdhr,NASA_NLDAS_2000_2019
94,Stream Bank Erosion,968798.47098497,972.394556585867,255.18107647979,020401010201,wikisrat,12,020401010201,12,Platner Brook-West Branch Delaware River,NY,19160.46,2019_2019,"4725,14777",nhdhr,NASA_NLDAS_2000_2019
95,Septic Systems,,75.6124072718317,0.0,020401010201,wikisrat,12,020401010201,12,Platner Brook-West Branch Delaware River,NY,19160.46,2019_2019,"4725,14777",nhdhr,NASA_NLDAS_2000_2019
96,Point Sources,,30271.7687163192,15.9172830381445,020401010201,wikisrat,12,020401010201,12,Platner Brook-West Branch Delaware River,NY,19160.46,2019_2019,"4725,14777",nhdhr,NASA_NLDAS_2000_2019
97,Medium-Density Mixed,2618.80555476943,59.6861488285796,5.95020038466703,020401010201,wikisrat,12,020401010201,12,Platner Brook-West Branch Delaware River,NY,19160.46,2019_2019,"4725,14777",nhdhr,NASA_NLDAS_2000_2019
98,Low-Density Mixed,1747.63783677563,41.5556841959091,4.34205997566917,020401010201,wikisrat,12,020401010201,12,Platner Brook-West Branch Delaware River,NY,19160.46,2019_2019,"4725,14777",nhdhr,NASA_NLDAS_2000_2019
99,High-Density Mixed,1412.45053818192,32.0849585761065,3.22103183291442,020401010201,wikisrat,12,020401010201,12,Platner Brook-West Branch Delaware River,NY,19160.46,2019_2019,"4725,14777",nhdhr,NASA_NLDAS_2000_2019
100,Hay/Pasture,154701.01073417,2030.01478165665,708.398017310343,020401010201,wikisrat,12,020401010201,12,Platner Brook-West Branch Delaware River,NY,19160.46,2019_2019,"4725,14777",nhdhr,NASA_NLDAS_2000_2019
101,Farm Animals,,1778.13691897439,372.137387764114,020401010201,wikisrat,12,020401010201,12,Platner Brook-West Branch Delaware River,NY,19160.46,2019_2019,"4725,14777",nhdhr,NASA_NLDAS_2000_2019
102,Cropland,17797.6703445493,192.538352684616,34.085483799429,020401010201,wikisrat,12,020401010201,12,Platner Brook-West Branch Delaware River,NY,19160.46,2019_2019,"4725,14777",nhdhr,NASA_NLDAS_2000_2019
103,Barren Areas,5.54671929417025,2.06816767092498,0.0726500284152101,020401010201,wikisrat,12,020401010201,12,Platner Brook-West Branch Delaware River,NY,19160.46,2019_2019,"4725,14777",nhdhr,NASA_NLDAS_2000_2019
104,Low-Density Open Space,6062.13657057374,144.182207835661,15.0572022922904,020401010201,wikisrat,12,020401010201,12,Platner Brook-West Branch Delaware River,NY,19160.46,2019_2019,"4725,14777",nhdhr,NASA_NLDAS_2000_2019
105,Wooded Areas,12810.7544065702,1084.86062474139,49.4036011021824,020401010202,wikisrat,12,020401010202,12,Bagley Brook-West Branch Delaware River,NY,19284.9,2019_2019,"4725,14777",nhdhr,NASA_NLDAS_2000_2019
106,Wetlands,70.2900707292718,31.5112216373353,1.20310888325042,020401010202,wikisrat,12,020401010202,12,Bagley Brook-West Branch Delaware River,NY,19284.9,2019_2019,"4725,14777",nhdhr,NASA_NLDAS_2000_2019
107,Subsurface Flow,,29097.3225895182,466.687931997771,020401010202,wikisrat,12,020401010202,12,Bagley Brook-West Branch Delaware River,NY,19284.9,2019_2019,"4725,14777",nhdhr,NASA_NLDAS_2000_2019
108,Stream Bank Erosion,826891.326991852,671.127540439693,187.194665205286,020401010202,wikisrat,12,020401010202,12,Bagley Brook-West Branch Delaware River,NY,19284.9,2019_2019,"4725,14777",nhdhr,NASA_NLDAS_2000_2019
109,Septic Systems,,57.0601968139004,0.0,020401010202,wikisrat,12,020401010202,12,Bagley Brook-West Branch Delaware River,NY,19284.9,2019_2019,"4725,14777",nhdhr,NASA_NLDAS_2000_2019
110,Point Sources,,0.0,0.0,020401010202,wikisrat,12,020401010202,12,Bagley Brook-West Branch Delaware River,NY,19284.9,2019_2019,"4725,14777",nhdhr,NASA_NLDAS_2000_2019
111,Open Land,880.419032936542,33.7597331313481,1.35274391288476,020401010202,wikisrat,12,020401010202,12,Bagley Brook-West Branch Delaware River,NY,19284.9,2019_2019,"4725,14777",nhdhr,NASA_NLDAS_2000_2019
112,Medium-Density Mixed,1943.85548078773,43.8227212585877,3.22113831047921,020401010202,wikisrat,12,020401010202,12,Bagley Brook-West Branch Delaware River,NY,19284.9,2019_2019,"4725,14777",nhdhr,NASA_NLDAS_2000_2019
113,Low-Density Mixed,1421.41021368825,38.7764385962254,2.93772318871487,020401010202,wikisrat,12,020401010202,12,Bagley Brook-West Branch Delaware River,NY,19284.9,2019_2019,"4725,14777",nhdhr,NASA_NLDAS_2000_2019
114,High-Density Mixed,396.199856391137,8.53480140275526,0.695593977733258,020401010202,wikisrat,12,020401010202,12,Bagley Brook-West Branch Delaware River,NY,19284.9,2019_2019,"4725,14777",nhdhr,NASA_NLDAS_2000_2019
115,Hay/Pasture,110283.183988412,1637.12818009306,432.624431431336,020401010202,wikisrat,12,020401010202,12,Bagley Brook-West Branch Delaware River,NY,19284.9,2019_2019,"4725,14777",nhdhr,NASA_NLDAS_2000_2019
116,Farm Animals,,1762.38947521143,272.234362510122,020401010202,wikisrat,12,020401010202,12,Bagley Brook-West Branch Delaware River,NY,19284.9,2019_2019,"4725,14777",nhdhr,NASA_NLDAS_2000_2019
117,Cropland,10496.6646925794,120.065607202454,16.1479059688134,020401010202,wikisrat,12,020401010202,12,Bagley Brook-West Branch Delaware River,NY,19284.9,2019_2019,"4725,14777",nhdhr,NASA_NLDAS_2000_2019
118,Barren Areas,2.31813294569394,1.58487859367083,0.0369360989132976,020401010202,wikisrat,12,020401010202,12,Bagley Brook-West Branch Delaware River,NY,19284.9,2019_2019,"4725,14777",nhdhr,NASA_NLDAS_2000_2019
119,Low-Density Open Space,5555.90081670947,152.263159990713,11.4173631123408,020401010202,wikisrat,12,020401010202,12,Bagley Brook-West Branch Delaware River,NY,19284.9,2019_2019,"4725,14777",nhdhr,NASA_NLDAS_2000_2019
120,Point Sources,,0.0,0.0,020401010203,wikisrat,12,020401010203,12,East Brook,NY,16028.98,2019_2019,"4725,14777",nhdhr,NASA_NLDAS_2000_2019
121,Wooded Areas,9991.04919478223,858.698832259677,53.6807326157881,020401010203,wikisrat,12,020401010203,12,East Brook,NY,16028.98,2019_2019,"4725,14777",nhdhr,NASA_NLDAS_2000_2019
122,Wetlands,47.5209341450533,25.8477857815966,1.37925225779275,020401010203,wikisrat,12,020401010203,12,East Brook,NY,16028.98,2019_2019,"4725,14777",nhdhr,NASA_NLDAS_2000_2019
123,Subsurface Flow,,10256.8279637031,441.453717734644,020401010203,wikisrat,12,020401010203,12,East Brook,NY,16028.98,2019_2019,"4725,14777",nhdhr,NASA_NLDAS_2000_2019
124,Stream Bank Erosion,836250.0954794,824.938681373552,228.322378719515,020401010203,wikisrat,12,020401010203,12,East Brook,NY,16028.98,2019_2019,"4725,14777",nhdhr,NASA_NLDAS_2000_2019
125,Septic Systems,,59.5994382006454,0.0,020401010203,wikisrat,12,020401010203,12,East Brook,NY,16028.98,2019_2019,"4725,14777",nhdhr,NASA_NLDAS_2000_2019
