,Source,Sediment,TotalN,TotalP,gwlfe_endpoint,huc_run,huc_run_level,huc,huc_name,huc_states,huc_areaacres,huc_level,land_use_source,stream_layer,weather_source,closest_weather_stations
17,Farm Animals,0.0,1965.57338541962,421.3270066988505,gwlfe,020401010101,12,020401010101,Town Brook-West Branch Delaware River,NY,20586.32,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14735"
18,Hay/Pasture,197354.2798832667,2384.7557104644306,834.7929232420245,gwlfe,020401010101,12,020401010101,Town Brook-West Branch Delaware River,NY,20586.32,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14735"
19,High-Density Mixed,2316.2655197339286,47.533957774822035,4.861303370451667,gwlfe,020401010101,12,020401010101,Town Brook-West Branch Delaware River,NY,20586.32,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14735"
20,Low-Density Mixed,3346.7295024322893,82.75687478227016,8.864144010227474,gwlfe,020401010101,12,020401010101,Town Brook-West Branch Delaware River,NY,20586.32,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14735"
21,Low-Density Open Space,8584.316787405898,212.2702862452394,22.73641182464182,gwlfe,020401010101,12,020401010101,Town Brook-West Branch Delaware River,NY,20586.32,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14735"
22,Medium-Density Mixed,7467.959520521462,153.2560362739952,15.673512590938998,gwlfe,020401010101,12,020401010101,Town Brook-West Branch Delaware River,NY,20586.32,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14735"
23,Open Land,1033.0109930304914,16.12303125593395,1.285161501008361,gwlfe,020401010101,12,020401010101,Town Brook-West Branch Delaware River,NY,20586.32,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14735"
24,Point Sources,0.0,0.0,0.0,gwlfe,020401010101,12,020401010101,Town Brook-West Branch Delaware River,NY,20586.32,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14735"
25,Septic Systems,0.0,198.20405484,0.0,gwlfe,020401010101,12,020401010101,Town Brook-West Branch Delaware River,NY,20586.32,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14735"
26,Stream Bank Erosion,1146598.0,1069.0,289.0,gwlfe,020401010101,12,020401010101,Town Brook-West Branch Delaware River,NY,20586.32,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14735"
27,Subsurface Flow,0.0,15474.644582059474,502.2145513373843,gwlfe,020401010101,12,020401010101,Town Brook-West Branch Delaware River,NY,20586.32,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14735"
28,Wetlands,124.90372187991758,49.39086054713997,2.7007204781892393,gwlfe,020401010101,12,020401010101,Town Brook-West Branch Delaware River,NY,20586.32,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14735"
29,Wooded Areas,9264.685826675497,660.9579705627034,42.293844337469,gwlfe,020401010101,12,020401010101,Town Brook-West Branch Delaware River,NY,20586.32,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14735"
30,Barren Areas,0.9162340603162157,0.6435498047540721,0.022315412691031943,gwlfe,020401010102,12,020401010102,Betty Brook-West Branch Delaware River,NY,16095.45,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14735"
31,Cropland,19723.962522722722,185.54829401033606,36.07021767678734,gwlfe,020401010102,12,020401010102,Betty Brook-West Branch Delaware River,NY,16095.45,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14735"
32,Farm Animals,0.0,1444.3923580980018,308.9100287768863,gwlfe,020401010102,12,020401010102,Betty Brook-West Branch Delaware River,NY,16095.45,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14735"
33,Hay/Pasture,147525.9957842307,1591.770146128828,578.9358729955878,gwlfe,020401010102,12,020401010102,Betty Brook-West Branch Delaware River,NY,16095.45,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14735"
34,High-Density Mixed,244.5233982003383,4.48875948052978,0.45630708421638905,gwlfe,020401010102,12,020401010102,Betty Brook-West Branch Delaware River,NY,16095.45,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14735"
35,Low-Density Mixed,1625.7401320525228,39.16073929652091,4.208610028004552,gwlfe,020401010102,12,020401010102,Betty Brook-West Branch Delaware River,NY,16095.45,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14735"
36,Low-Density Open Space,5420.576951610542,130.57056085018425,14.032436098699598,gwlfe,020401010102,12,020401010102,Betty Brook-West Branch Delaware River,NY,16095.45,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14735"
37,Medium-Density Mixed,2268.6337499698047,41.64571295824852,4.233515725785387,gwlfe,020401010102,12,020401010102,Betty Brook-West Branch Delaware River,NY,16095.45,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14735"
38,Open Land,1255.8067902515581,19.982326009273404,1.6448531002601832,gwlfe,020401010102,12,020401010102,Betty Brook-West Branch Delaware River,NY,16095.45,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14735"
39,Point Sources,0.0,0.0,0.0,gwlfe,020401010102,12,020401010102,Betty Brook-West Branch Delaware River,NY,16095.45,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14735"
40,Septic Systems,0.0,59.62235796000001,0.0,gwlfe,020401010102,12,020401010102,Betty Brook-West Branch Delaware River,NY,16095.45,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14735"
41,Stream Bank Erosion,624163.0,572.0,166.0,gwlfe,020401010102,12,020401010102,Betty Brook-West Branch Delaware River,NY,16095.45,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14735"
42,Subsurface Flow,0.0,14266.895424115166,410.4962233043661,gwlfe,020401010102,12,020401010102,Betty Brook-West Branch Delaware River,NY,16095.45,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14735"
43,Wetlands,120.9456978648579,43.860595104855875,2.413920997949347,gwlfe,020401010102,12,020401010102,Betty Brook-West Branch Delaware River,NY,16095.45,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14735"
44,Wooded Areas,7483.189901509949,562.2494021873882,36.11766136505849,gwlfe,020401010102,12,020401010102,Betty Brook-West Branch Delaware River,NY,16095.45,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14735"
45,Barren Areas,17.77133284890431,4.28442171554277,0.15979906527211898,gwlfe,020401010103,12,020401010103,Rose Brook-West Branch Delaware River,NY,16327.17,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14735"
46,Cropland,25107.113118727328,353.00393363105513,61.55957260793302,gwlfe,020401010103,12,020401010103,Rose Brook-West Branch Delaware River,NY,16327.17,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14735"
47,Farm Animals,0.0,1464.2471422032681,313.2550264445877,gwlfe,020401010103,12,020401010103,Rose Brook-West Branch Delaware River,NY,16327.17,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14735"
48,Hay/Pasture,110975.51464271908,1316.39252978051,478.9341134246855,gwlfe,020401010103,12,020401010103,Rose Brook-West Branch Delaware River,NY,16327.17,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14735"
49,High-Density Mixed,143.37585535171635,2.61354669856735,0.2655820795336023,gwlfe,020401010103,12,020401010103,Rose Brook-West Branch Delaware River,NY,16327.17,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14735"
50,Low-Density Mixed,1024.2912823986867,24.16158149882262,2.6037552474022783,gwlfe,020401010103,12,020401010103,Rose Brook-West Branch Delaware River,NY,16327.17,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14735"
51,Low-Density Open Space,4264.3531694904,100.59005520687518,10.840014098172707,gwlfe,020401010103,12,020401010103,Rose Brook-West Branch Delaware River,NY,16327.17,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14735"
52,Medium-Density Mixed,1476.7713101226786,26.919530995243704,2.735495419196104,gwlfe,020401010103,12,020401010103,Rose Brook-West Branch Delaware River,NY,16327.17,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14735"
53,Open Land,1371.1828118253818,17.034529684151714,1.7230237474377703,gwlfe,020401010103,12,020401010103,Rose Brook-West Branch Delaware River,NY,16327.17,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14735"
54,Point Sources,0.0,0.0,0.0,gwlfe,020401010103,12,020401010103,Rose Brook-West Branch Delaware River,NY,16327.17,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14735"
55,Septic Systems,0.0,37.062546839999996,0.0,gwlfe,020401010103,12,020401010103,Rose Brook-West Branch Delaware River,NY,16327.17,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14735"
56,Stream Bank Erosion,564305.0,554.0,153.0,gwlfe,020401010103,12,020401010103,Rose Brook-West Branch Delaware River,NY,16327.17,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14735"
57,Subsurface Flow,0.0,35189.17616032203,549.2284300263857,gwlfe,020401010103,12,020401010103,Rose Brook-West Branch Delaware River,NY,16327.17,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14735"
58,Wetlands,73.97068122717856,28.16568882165159,1.547494575223779,gwlfe,020401010103,12,020401010103,Rose Brook-West Branch Delaware River,NY,16327.17,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14735"
59,Wooded Areas,12450.228782447319,571.0164899740926,41.00897720975023,gwlfe,020401010103,12,020401010103,Rose Brook-West Branch Delaware River,NY,16327.17,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14735"
60,Barren Areas,1.9019269362623499,0.6010984780800886,0.021854532395314256,gwlfe,020401010104,12,020401010104,Kidd Brook-West Branch Delaware River,NY,17537.2,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14735"
61,Cropland,36554.05896212034,474.7698521488677,84.98560704384096,gwlfe,020401010104,12,020401010104,Kidd Brook-West Branch Delaware River,NY,17537.2,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14735"
62,Farm Animals,0.0,1571.579472213839,336.20631984701083,gwlfe,020401010104,12,020401010104,Kidd Brook-West Branch Delaware River,NY,17537.2,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14735"
63,Hay/Pasture,119814.21347770542,1347.777277924865,495.8146197285733,gwlfe,020401010104,12,020401010104,Kidd Brook-West Branch Delaware River,NY,17537.2,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14735"
64,High-Density Mixed,400.3924403534794,7.521026324864525,0.7655464572177957,gwlfe,020401010104,12,020401010104,Kidd Brook-West Branch Delaware River,NY,17537.2,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14735"
65,Low-Density Mixed,1844.273006156307,44.83845687207312,4.813046609768129,gwlfe,020401010104,12,020401010104,Kidd Brook-West Branch Delaware River,NY,17537.2,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14735"
66,Low-Density Open Space,5596.188588585667,136.05602849452515,14.604517023241918,gwlfe,020401010104,12,020401010104,Kidd Brook-West Branch Delaware River,NY,17537.2,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14735"
67,Medium-Density Mixed,2775.1338107258402,52.128492803371365,5.3060288931302395,gwlfe,020401010104,12,020401010104,Kidd Brook-West Branch Delaware River,NY,17537.2,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14735"
68,Open Land,2133.9040320559625,51.89722349523532,3.182710033893777,gwlfe,020401010104,12,020401010104,Kidd Brook-West Branch Delaware River,NY,17537.2,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14735"
69,Point Sources,0.0,0.0,0.0,gwlfe,020401010104,12,020401010104,Kidd Brook-West Branch Delaware River,NY,17537.2,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14735"
70,Septic Systems,0.0,70.90226351999999,0.0,gwlfe,020401010104,12,020401010104,Kidd Brook-West Branch Delaware River,NY,17537.2,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14735"
71,Stream Bank Erosion,730021.0,674.0,197.0,gwlfe,020401010104,12,020401010104,Kidd Brook-West Branch Delaware River,NY,17537.2,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14735"
72,Subsurface Flow,0.0,25365.67977219855,508.92325081652604,gwlfe,020401010104,12,020401010104,Kidd Brook-West Branch Delaware River,NY,17537.2,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14735"
73,Wetlands,89.87949815825834,33.342946526666076,1.8343930004706337,gwlfe,020401010104,12,020401010104,Kidd Brook-West Branch Delaware River,NY,17537.2,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14735"
74,Wooded Areas,10771.338695312537,591.782635579169,40.674022586813265,gwlfe,020401010104,12,020401010104,Kidd Brook-West Branch Delaware River,NY,17537.2,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14735"
75,Barren Areas,1.0759259235291438,0.7510112951406622,0.02608313008189646,gwlfe,020401010105,12,020401010105,Little Delaware River,NY,33390.3,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14735"
76,Cropland,992.5325590356822,12.794594399039356,2.320997998584731,gwlfe,020401010105,12,020401010105,Little Delaware River,NY,33390.3,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14735"
77,Farm Animals,0.0,2999.8428610228075,642.0509014504635,gwlfe,020401010105,12,020401010105,Little Delaware River,NY,33390.3,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14735"
78,Hay/Pasture,134856.23247610303,1827.141319204494,687.9092559228112,gwlfe,020401010105,12,020401010105,Little Delaware River,NY,33390.3,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14735"
79,High-Density Mixed,309.85793425695573,5.759084828103839,0.5859189012182554,gwlfe,020401010105,12,020401010105,Little Delaware River,NY,33390.3,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14735"
80,Low-Density Mixed,2402.4095938681803,55.76204875713721,6.022035167398861,gwlfe,020401010105,12,020401010105,Little Delaware River,NY,33390.3,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14735"
81,Low-Density Open Space,12012.047969340902,278.81024378568605,30.110175836994298,gwlfe,020401010105,12,020401010105,Little Delaware River,NY,33390.3,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14735"
82,Medium-Density Mixed,2436.6101193842424,45.28734887554382,4.607453177761736,gwlfe,020401010105,12,020401010105,Little Delaware River,NY,33390.3,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14735"
83,Open Land,1959.0053339069173,62.71571502271933,3.2650458345176605,gwlfe,020401010105,12,020401010105,Little Delaware River,NY,33390.3,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14735"
84,Point Sources,0.0,0.0,0.0,gwlfe,020401010105,12,020401010105,Little Delaware River,NY,33390.3,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14735"
85,Septic Systems,0.0,61.23377303999999,0.0,gwlfe,020401010105,12,020401010105,Little Delaware River,NY,33390.3,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14735"
86,Stream Bank Erosion,1939808.0,1856.0,535.0,gwlfe,020401010105,12,020401010105,Little Delaware River,NY,33390.3,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14735"
87,Subsurface Flow,0.0,17293.736112733106,702.7128196911148,gwlfe,020401010105,12,020401010105,Little Delaware River,NY,33390.3,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14735"
88,Wetlands,64.15951039130275,30.45207467546538,1.6605800414644756,gwlfe,020401010105,12,020401010105,Little Delaware River,NY,33390.3,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14735"
89,Wooded Areas,20753.807732695634,1229.6873323749674,83.42977229210788,gwlfe,020401010105,12,020401010105,Little Delaware River,NY,33390.3,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14735"
90,Barren Areas,1.8738920364189455,0.775991311137123,0.027614726077711513,gwlfe,020401010106,12,020401010106,Elk Brook-West Branch Delaware River,NY,21931.82,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14735"
91,Cropland,11019.725321817155,165.8316313771813,28.056727539854574,gwlfe,020401010106,12,020401010106,Elk Brook-West Branch Delaware River,NY,21931.82,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14735"
92,Farm Animals,0.0,1975.7591787654546,422.73960951301086,gwlfe,020401010106,12,020401010106,Elk Brook-West Branch Delaware River,NY,21931.82,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14735"
93,Hay/Pasture,193021.1737045379,2248.9672888195255,808.326688842994,gwlfe,020401010106,12,020401010106,Elk Brook-West Branch Delaware River,NY,21931.82,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14735"
94,High-Density Mixed,3797.2954309931824,82.10547285213073,8.41881093702992,gwlfe,020401010106,12,020401010106,Elk Brook-West Branch Delaware River,NY,21931.82,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14735"
95,Low-Density Mixed,3948.435310478936,98.5849382558077,10.54665026547319,gwlfe,020401010106,12,020401010106,Elk Brook-West Branch Delaware River,NY,21931.82,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14735"
96,Low-Density Open Space,9216.006963322427,230.10620815616934,24.616840506002198,gwlfe,020401010106,12,020401010106,Elk Brook-West Branch Delaware River,NY,21931.82,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14735"
97,Medium-Density Mixed,8783.642966640797,189.92074023371657,19.47381519777628,gwlfe,020401010106,12,020401010106,Elk Brook-West Branch Delaware River,NY,21931.82,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14735"
98,Open Land,1418.716464985436,47.23600903939436,2.340996323317297,gwlfe,020401010106,12,020401010106,Elk Brook-West Branch Delaware River,NY,21931.82,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14735"
99,Point Sources,0.0,0.0,0.0,gwlfe,020401010106,12,020401010106,Elk Brook-West Branch Delaware River,NY,21931.82,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14735"
100,Septic Systems,0.0,243.32367707999992,0.0,gwlfe,020401010106,12,020401010106,Elk Brook-West Branch Delaware River,NY,21931.82,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14735"
101,Stream Bank Erosion,1565138.0,1502.0,415.0,gwlfe,020401010106,12,020401010106,Elk Brook-West Branch Delaware River,NY,21931.82,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14735"
102,Subsurface Flow,0.0,11375.83271640815,493.6871800935216,gwlfe,020401010106,12,020401010106,Elk Brook-West Branch Delaware River,NY,21931.82,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14735"
103,Wetlands,116.11043512192758,43.42401616196711,2.385205268984644,gwlfe,020401010106,12,020401010106,Elk Brook-West Branch Delaware River,NY,21931.82,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14735"
104,Wooded Areas,8735.572997965954,643.6483907110086,41.379476662625,gwlfe,020401010106,12,020401010106,Elk Brook-West Branch Delaware River,NY,21931.82,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14735"
105,Barren Areas,126.73682268002095,137.8690799314672,4.72653525085268,gwlfe,0204010102,10,0204010102,Middle West Branch Delaware River,NY,165564.46,10,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14777"
106,Cropland,37908.90318173975,851.6331898664396,143.63645703139292,gwlfe,0204010102,10,0204010102,Middle West Branch Delaware River,NY,165564.46,10,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14777"
107,Farm Animals,0.0,15435.316620362893,3317.89807643047,gwlfe,0204010102,10,0204010102,Middle West Branch Delaware River,NY,165564.46,10,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14777"
108,Hay/Pasture,487071.09119526355,9798.520510313661,3923.1565413210906,gwlfe,0204010102,10,0204010102,Middle West Branch Delaware River,NY,165564.46,10,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14777"
109,High-Density Mixed,9082.359514077336,191.80109150848455,19.653257661255363,gwlfe,0204010102,10,0204010102,Middle West Branch Delaware River,NY,165564.46,10,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14777"
110,Low-Density Mixed,17286.488817105906,411.07679267236244,44.348007515664655,gwlfe,0204010102,10,0204010102,Middle West Branch Delaware River,NY,165564.46,10,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14777"
111,Low-Density Open Space,51150.686224274876,1216.3754165772582,131.22566653679334,gwlfe,0204010102,10,0204010102,Middle West Branch Delaware River,NY,165564.46,10,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14777"
112,Medium-Density Mixed,24228.226090109707,511.651207177463,52.42729813613292,gwlfe,0204010102,10,0204010102,Middle West Branch Delaware River,NY,165564.46,10,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14777"
113,Open Land,6115.270798257239,281.59632525966356,12.26731408738192,gwlfe,0204010102,10,0204010102,Middle West Branch Delaware River,NY,165564.46,10,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14777"
114,Point Sources,0.0,44084.30161256142,398.45920110363835,gwlfe,0204010102,10,0204010102,Middle West Branch Delaware River,NY,165564.46,10,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14777"
115,Septic Systems,0.0,665.5144280399998,0.0,gwlfe,0204010102,10,0204010102,Middle West Branch Delaware River,NY,165564.46,10,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14777"
116,Stream Bank Erosion,31014663.0,30361.0,9020.0,gwlfe,0204010102,10,0204010102,Middle West Branch Delaware River,NY,165564.46,10,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14777"
117,Subsurface Flow,0.0,154763.71658578975,5636.8801538791295,gwlfe,0204010102,10,0204010102,Middle West Branch Delaware River,NY,165564.46,10,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14777"
118,Wetlands,421.1337564573995,304.2894209562687,16.41837451365058,gwlfe,0204010102,10,0204010102,Middle West Branch Delaware River,NY,165564.46,10,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14777"
119,Wooded Areas,78780.01857334275,7465.434800830503,468.33195325405234,gwlfe,0204010102,10,0204010102,Middle West Branch Delaware River,NY,165564.46,10,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14777"
120,Barren Areas,5.607960930032326,2.070232251515995,0.07426398935704986,gwlfe,020401010201,12,020401010201,Platner Brook-West Branch Delaware River,NY,19160.46,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14777"
121,Cropland,18126.95311866471,192.85985215844207,35.356792725953945,gwlfe,020401010201,12,020401010201,Platner Brook-West Branch Delaware River,NY,19160.46,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14777"
122,Farm Animals,0.0,1780.330730639471,382.3564689035482,gwlfe,020401010201,12,020401010201,Platner Brook-West Branch Delaware River,NY,19160.46,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14777"
123,Hay/Pasture,156791.19368644548,2032.4944751680332,727.6569492848057,gwlfe,020401010201,12,020401010201,Platner Brook-West Branch Delaware River,NY,19160.46,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14777"
