,Source,Unit,Sediment,TotalN,TotalP,gwlfe_endpoint,huc_run,huc_run_level,huc,huc_name,huc_states,huc_areaacres,huc_level,land_use_source,stream_layer,weather_source,closest_weather_stations
47,Total Loads,kg,782025.9209983496,33235.62530745773,1500.5434316384724,gwlfe,020401010204,12,020401010204,Mallory Brook-West Branch Delaware River,NY,14244.69,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14777"
48,Loading Rates,kg/ha,223.2036431279222,4.109951628789125,0.3087610471050661,gwlfe,020401010205,12,020401010205,Beers Brook-West Branch Delaware River,NY,31350.77,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14777"
49,Mean Annual Concentration,mg/l,39.195713707675466,0.7217287546784704,0.05422003618227827,gwlfe,020401010205,12,020401010205,Beers Brook-West Branch Delaware River,NY,31350.77,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14777"
50,Mean Low-Flow Concentration,mg/l,55.876221120795144,1.2407019930730547,0.09153151340323457,gwlfe,020401010205,12,020401010205,Beers Brook-West Branch Delaware River,NY,31350.77,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14777"
51,Total Loads,kg,2822677.91172433,51975.270287993044,3904.653953900087,gwlfe,020401010205,12,020401010205,Beers Brook-West Branch Delaware River,NY,31350.77,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14777"
52,Loading Rates,kg/ha,175.6266365326064,2.512125437144838,0.2722763625470856,gwlfe,020401010206,12,020401010206,Trout Creek,NY,31688.98,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14777"
53,Mean Annual Concentration,mg/l,29.09863238085358,0.4162205462295993,0.04511200542340692,gwlfe,020401010206,12,020401010206,Trout Creek,NY,31688.98,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14777"
54,Mean Low-Flow Concentration,mg/l,39.200396895568105,0.5077753996900035,0.06654678712597153,gwlfe,020401010206,12,020401010206,Trout Creek,NY,31688.98,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14777"
55,Total Loads,kg,2199319.68130687,31458.593211733663,3409.635205268389,gwlfe,020401010206,12,020401010206,Trout Creek,NY,31688.98,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14777"
56,Loading Rates,kg/ha,128.3490596384161,4.317772104698458,0.22494759439876907,gwlfe,020401010207,12,020401010207,Cannonsville Reservoir-West Branch Delaware River,NY,33805.69,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14777"
57,Mean Annual Concentration,mg/l,18.912653937372685,0.6362378487747132,0.03314676413597209,gwlfe,020401010207,12,020401010207,Cannonsville Reservoir-West Branch Delaware River,NY,33805.69,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14777"
58,Mean Low-Flow Concentration,mg/l,22.455618003509503,0.6856589668135389,0.03956514668196804,gwlfe,020401010207,12,020401010207,Cannonsville Reservoir-West Branch Delaware River,NY,33805.69,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14777"
59,Total Loads,kg,1588678.9903923867,53444.519557536565,2784.356333949084,gwlfe,020401010207,12,020401010207,Cannonsville Reservoir-West Branch Delaware River,NY,33805.69,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14777"
60,Loading Rates,kg/ha,346.992011585932,3.261593763721043,0.3338498537431674,gwlfe,0204010103,10,0204010103,Lower West Branch Delaware River,"NY,PA",135505.85,10,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14777"
61,Mean Annual Concentration,mg/l,60.23834690990722,0.5662176939470029,0.05795684809482237,gwlfe,0204010103,10,0204010103,Lower West Branch Delaware River,"NY,PA",135505.85,10,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14777"
62,Mean Low-Flow Concentration,mg/l,83.63561167545816,0.7066305193700554,0.0900650368496187,gwlfe,0204010103,10,0204010103,Lower West Branch Delaware River,"NY,PA",135505.85,10,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14777"
63,Total Loads,kg,18822061.1804615,176920.26132240237,18109.184541517498,gwlfe,0204010103,10,0204010103,Lower West Branch Delaware River,"NY,PA",135505.85,10,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14777"
64,Loading Rates,kg/ha,89.65106309559417,2.2225074792378274,0.20812336752875782,gwlfe,020401010301,12,020401010301,Cold Spring Creek,NY,19689.14,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14777"
65,Mean Annual Concentration,mg/l,15.625033925066356,0.3873546343201299,0.03627324167665903,gwlfe,020401010301,12,020401010301,Cold Spring Creek,NY,19689.14,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14777"
66,Mean Low-Flow Concentration,mg/l,21.107083958582205,0.4717903149979621,0.056024821310094765,gwlfe,020401010301,12,020401010301,Cold Spring Creek,NY,19689.14,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14777"
67,Total Loads,kg,712878.3584172361,17672.712722655433,1654.9345815784236,gwlfe,020401010301,12,020401010301,Cold Spring Creek,NY,19689.14,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14777"
68,Loading Rates,kg/ha,126.72187190257583,6.276702135799403,0.29192577549428195,gwlfe,020401010302,12,020401010302,Upper Oquaga Creek,NY,22311.83,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14777"
69,Mean Annual Concentration,mg/l,22.059644389381063,1.092643400661358,0.05081821076987464,gwlfe,020401010302,12,020401010302,Upper Oquaga Creek,NY,22311.83,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14777"
70,Mean Low-Flow Concentration,mg/l,29.834147196392898,1.2082460727155546,0.07880701972942815,gwlfe,020401010302,12,020401010302,Upper Oquaga Creek,NY,22311.83,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14777"
71,Total Loads,kg,1139166.2674682052,56424.41384976872,2624.266758805847,gwlfe,020401010302,12,020401010302,Upper Oquaga Creek,NY,22311.83,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14777"
72,Loading Rates,kg/ha,122.06742157617423,3.157350963965321,0.27821858232851754,gwlfe,020401010303,12,020401010303,Lower Oquaga Creek,NY,20913.46,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14777"
73,Mean Annual Concentration,mg/l,21.28290271872403,0.5504957223415249,0.04850843038856244,gwlfe,020401010303,12,020401010303,Lower Oquaga Creek,NY,20913.46,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14777"
74,Mean Low-Flow Concentration,mg/l,28.2665836956149,0.6766040968846084,0.07633604930605443,gwlfe,020401010303,12,020401010303,Lower Oquaga Creek,NY,20913.46,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14777"
75,Total Loads,kg,1027417.0739223433,26574.791593503316,2341.7101637426667,gwlfe,020401010303,12,020401010303,Lower Oquaga Creek,NY,20913.46,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14777"
76,Loading Rates,kg/ha,179.1750267653972,4.8288432020264755,0.3992523114175546,gwlfe,020401010304,12,020401010304,Big Hollow-West Branch Delaware River,NY,14145.32,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14777"
77,Mean Annual Concentration,mg/l,31.053803731848966,0.8369132225326549,0.0691966014576434,gwlfe,020401010304,12,020401010304,Big Hollow-West Branch Delaware River,NY,14145.32,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14777"
78,Mean Low-Flow Concentration,mg/l,40.79697650146969,1.062979586906353,0.11440836018128313,gwlfe,020401010304,12,020401010304,Big Hollow-West Branch Delaware River,NY,14145.32,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14777"
79,Total Loads,kg,1006103.6102930586,27114.92034801907,2241.8815790718527,gwlfe,020401010304,12,020401010304,Big Hollow-West Branch Delaware River,NY,14145.32,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14777"
80,Loading Rates,kg/ha,133.23313921403857,2.4537748659395344,0.2323995696019502,gwlfe,020401010305,12,020401010305,Sherman Creek-West Branch Delaware River,"NY,PA",23524.65,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14777"
81,Mean Annual Concentration,mg/l,22.685078448701745,0.4177945191238555,0.03956975343345553,gwlfe,020401010305,12,020401010305,Sherman Creek-West Branch Delaware River,"NY,PA",23524.65,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14777"
82,Mean Low-Flow Concentration,mg/l,30.121125827727166,0.5427386209687588,0.06293337378521767,gwlfe,020401010305,12,020401010305,Sherman Creek-West Branch Delaware River,"NY,PA",23524.65,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14777"
83,Total Loads,kg,1243238.391947958,22896.909406541577,2168.590103826678,gwlfe,020401010305,12,020401010305,Sherman Creek-West Branch Delaware River,"NY,PA",23524.65,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14777"
84,Loading Rates,kg/ha,79.04900067709701,2.242267510253405,0.20746292830497298,gwlfe,020401010306,12,020401010306,Sands Creek,NY,11576.99,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14777"
85,Mean Annual Concentration,mg/l,13.606971387118717,0.38596907731844166,0.03571129432571719,gwlfe,020401010306,12,020401010306,Sands Creek,NY,11576.99,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14777"
86,Mean Low-Flow Concentration,mg/l,18.2786343466084,0.4695770884874832,0.055838548807587096,gwlfe,020401010306,12,020401010306,Sands Creek,NY,11576.99,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14777"
87,Total Loads,kg,369024.449860892,10467.57741811597,968.4991882061054,gwlfe,020401010306,12,020401010306,Sands Creek,NY,11576.99,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14777"
88,Loading Rates,kg/ha,156.36655856626848,2.401639198701596,0.2664755665431115,gwlfe,020401010307,12,020401010307,Balls Creek-West Branch Delaware River,"NY,PA",23344.47,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14777"
89,Mean Annual Concentration,mg/l,27.30242136107216,0.419338802116245,0.0465280317409244,gwlfe,020401010307,12,020401010307,Balls Creek-West Branch Delaware River,"NY,PA",23344.47,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14777"
90,Mean Low-Flow Concentration,mg/l,37.32284308781335,0.5374555327476243,0.07496006300916935,gwlfe,020401010307,12,020401010307,Balls Creek-West Branch Delaware River,"NY,PA",23344.47,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14777"
91,Total Loads,kg,1449580.5445327351,22264.156027643276,2470.335092081261,gwlfe,020401010307,12,020401010307,Balls Creek-West Branch Delaware River,"NY,PA",23344.47,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14777"
92,Loading Rates,kg/ha,353.94207553389407,2.7030092755617345,0.30402874546248027,gwlfe,0204010104,10,0204010104,Equinunk Creek-Delaware River,"NY,PA",104564.64,10,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14777"
93,Mean Annual Concentration,mg/l,60.70441720613443,0.46359168383199956,0.05214380850135656,gwlfe,0204010104,10,0204010104,Equinunk Creek-Delaware River,"NY,PA",104564.64,10,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14777"
94,Mean Low-Flow Concentration,mg/l,83.68691724840734,0.625356780053502,0.08384014562501114,gwlfe,0204010104,10,0204010104,Equinunk Creek-Delaware River,"NY,PA",104564.64,10,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14777"
95,Total Loads,kg,14648211.343838189,111866.47157747041,12582.503256835666,gwlfe,0204010104,10,0204010104,Equinunk Creek-Delaware River,"NY,PA",104564.64,10,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14777"
96,Loading Rates,kg/ha,157.88995244231867,2.5316110969586534,0.2998999759130884,gwlfe,020401010401,12,020401010401,Upper Equinunk Creek,PA,14899.71,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14777"
97,Mean Annual Concentration,mg/l,27.565638602447756,0.4419880777796993,0.05235883743725307,gwlfe,020401010401,12,020401010401,Upper Equinunk Creek,PA,14899.71,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14777"
98,Mean Low-Flow Concentration,mg/l,38.13263709381169,0.594656380822882,0.08726461955567494,gwlfe,020401010401,12,020401010401,Upper Equinunk Creek,PA,14899.71,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14777"
99,Total Loads,kg,920135.2758481004,14753.469989745945,1747.7270896287052,gwlfe,020401010401,12,020401010401,Upper Equinunk Creek,PA,14899.71,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14777"
100,Loading Rates,kg/ha,135.04398224527674,2.2965593016909565,0.24029231071593649,gwlfe,020401010402,12,020401010402,Lower Equinunk Creek,PA,21904.12,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14777"
101,Mean Annual Concentration,mg/l,23.535065147903186,0.40023755137160244,0.04187743202779818,gwlfe,020401010402,12,020401010402,Lower Equinunk Creek,PA,21904.12,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14777"
102,Mean Low-Flow Concentration,mg/l,32.76636312104163,0.5052424419195197,0.07167097708797944,gwlfe,020401010402,12,020401010402,Lower Equinunk Creek,PA,21904.12,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14777"
103,Total Loads,kg,1183525.4603976053,20127.04572001954,2105.9218111144673,gwlfe,020401010402,12,020401010402,Lower Equinunk Creek,PA,21904.12,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14777"
104,Loading Rates,kg/ha,77.77584610109118,3.6214178899260956,0.2932749393967652,gwlfe,020401010403,12,020401010403,Factory Creek-Delaware River,"NY,PA",14186.81,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14777"
105,Mean Annual Concentration,mg/l,12.877295172505947,0.5995957543291545,0.04855733689354173,gwlfe,020401010403,12,020401010403,Factory Creek-Delaware River,"NY,PA",14186.81,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14777"
106,Mean Low-Flow Concentration,mg/l,16.5651818228675,1.0080889113073053,0.09270189467573378,gwlfe,020401010403,12,020401010403,Factory Creek-Delaware River,"NY,PA",14186.81,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14777"
107,Total Loads,kg,430458.1978310992,20043.099453584968,1623.1594795853364,gwlfe,020401010403,12,020401010403,Factory Creek-Delaware River,"NY,PA",14186.81,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14777"
108,Loading Rates,kg/ha,111.71123447838036,2.5130191638665873,0.17496157854699915,gwlfe,020401010404,12,020401010404,Basket Creek,NY,14419.35,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14777"
109,Mean Annual Concentration,mg/l,19.010003785057968,0.42764278848133686,0.02977337316115561,gwlfe,020401010404,12,020401010404,Basket Creek,NY,14419.35,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14777"
110,Mean Low-Flow Concentration,mg/l,25.522648961968567,0.48346396429877536,0.04178910115466993,gwlfe,020401010404,12,020401010404,Basket Creek,NY,14419.35,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14777"
111,Total Loads,kg,647467.1439132447,14565.207771854353,1014.0598131005523,gwlfe,020401010404,12,020401010404,Basket Creek,NY,14419.35,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14777"
112,Loading Rates,kg/ha,150.46932915592342,2.3487120950193807,0.2682551498265143,gwlfe,020401010405,12,020401010405,Little Equinunk Creek,PA,16049.76,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14777"
113,Mean Annual Concentration,mg/l,26.39462967081545,0.4120001484632207,0.04705607034123755,gwlfe,020401010405,12,020401010405,Little Equinunk Creek,PA,16049.76,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14777"
