,Source,Sediment,TotalN,TotalP,huc,land_use_source,stream_layer,weather_source
126,Low-Density Open Space,5667.489108779524,131.36362157871253,14.218458607838938,020401010203,2019_2019,nhdhr,NASA_NLDAS_2000_2019
127,Medium-Density Mixed,2254.9954234237425,44.89766627230532,4.586919372182189,020401010203,2019_2019,nhdhr,NASA_NLDAS_2000_2019
128,Open Land,1726.7330303559954,27.959558920440955,2.3185285780544835,020401010203,2019_2019,nhdhr,NASA_NLDAS_2000_2019
129,Point Sources,0.0,0.0,0.0,020401010203,2019_2019,nhdhr,NASA_NLDAS_2000_2019
130,Septic Systems,0.0,59.62235796,0.0,020401010203,2019_2019,nhdhr,NASA_NLDAS_2000_2019
131,Stream Bank Erosion,839320.0,831.0,230.0,020401010203,2019_2019,nhdhr,NASA_NLDAS_2000_2019
132,Subsurface Flow,0.0,10261.268338571232,445.6729540604281,020401010203,2019_2019,nhdhr,NASA_NLDAS_2000_2019
133,Wetlands,47.94837917473037,25.868834279860927,1.4041784944418256,020401010203,2019_2019,nhdhr,NASA_NLDAS_2000_2019
134,Wooded Areas,10033.66132908073,859.0312831143428,54.1393782117379,020401010203,2019_2019,nhdhr,NASA_NLDAS_2000_2019
135,Barren Areas,13.794130149234796,3.254046046753544,0.12191290485199896,020401010204,2019_2019,nhdhr,NASA_NLDAS_2000_2019
136,Cropland,23080.344791420564,329.80834818816083,57.87465714897574,020401010204,2019_2019,nhdhr,NASA_NLDAS_2000_2019
137,Farm Animals,0.0,1321.3292152640006,283.5652337556953,020401010204,2019_2019,nhdhr,NASA_NLDAS_2000_2019
138,Hay/Pasture,81090.02845725483,971.7363412068817,353.4688326745889,020401010204,2019_2019,nhdhr,NASA_NLDAS_2000_2019
139,High-Density Mixed,969.0561680620019,20.18107894356868,2.0664575096332807,020401010204,2019_2019,nhdhr,NASA_NLDAS_2000_2019
140,Low-Density Mixed,2199.2118470072446,54.220904036835506,5.823202549382453,020401010204,2019_2019,nhdhr,NASA_NLDAS_2000_2019
141,Low-Density Open Space,4643.566279318619,114.48572449363981,12.295508062468844,020401010204,2019_2019,nhdhr,NASA_NLDAS_2000_2019
142,Medium-Density Mixed,2827.5200520165263,58.88451801342643,6.029526706190259,020401010204,2019_2019,nhdhr,NASA_NLDAS_2000_2019
143,Open Land,1290.9629995084194,15.226018014857019,1.633245700217493,020401010204,2019_2019,nhdhr,NASA_NLDAS_2000_2019
144,Point Sources,0.0,6.8699862259248015,0.5899988170736,020401010204,2019_2019,nhdhr,NASA_NLDAS_2000_2019
145,Septic Systems,0.0,75.73650875999999,0.0,020401010204,2019_2019,nhdhr,NASA_NLDAS_2000_2019
146,Stream Bank Erosion,649496.0,665.0,180.0,020401010204,2019_2019,nhdhr,NASA_NLDAS_2000_2019
147,Subsurface Flow,0.0,28871.43706939464,544.084958168149,020401010204,2019_2019,nhdhr,NASA_NLDAS_2000_2019
148,Wetlands,98.27903203098724,29.688850374423122,1.6505963517102815,020401010204,2019_2019,nhdhr,NASA_NLDAS_2000_2019
149,Wooded Areas,16317.157241581182,697.7666984946211,51.3393012895351,020401010204,2019_2019,nhdhr,NASA_NLDAS_2000_2019
150,Barren Areas,13.92500862702748,5.225694151310698,0.18836114767477344,020401010205,2019_2019,nhdhr,NASA_NLDAS_2000_2019
151,Cropland,13893.828817129763,135.61244559315227,27.423522665367635,020401010205,2019_2019,nhdhr,NASA_NLDAS_2000_2019
152,Farm Animals,0.0,2911.5673496761574,625.4441807253725,020401010205,2019_2019,nhdhr,NASA_NLDAS_2000_2019
153,Hay/Pasture,192248.73415891896,2643.8096725741484,1021.0745008219479,020401010205,2019_2019,nhdhr,NASA_NLDAS_2000_2019
154,High-Density Mixed,4313.173268816827,94.60243110256371,9.711136983395422,020401010205,2019_2019,nhdhr,NASA_NLDAS_2000_2019
155,Low-Density Mixed,5018.321904219372,122.25043157473219,13.148863045954133,020401010205,2019_2019,nhdhr,NASA_NLDAS_2000_2019
156,Low-Density Open Space,11835.225289431017,288.31578105832847,31.010317675694985,020401010205,2019_2019,nhdhr,NASA_NLDAS_2000_2019
157,Medium-Density Mixed,9171.836098101663,201.16928731515753,20.65044717351438,020401010205,2019_2019,nhdhr,NASA_NLDAS_2000_2019
158,Open Land,1809.0236717110902,46.12401459141671,2.85649494835617,020401010205,2019_2019,nhdhr,NASA_NLDAS_2000_2019
159,Point Sources,0.0,13407.63311817801,356.5192851916608,020401010205,2019_2019,nhdhr,NASA_NLDAS_2000_2019
160,Septic Systems,0.0,256.2149977199999,0.0,020401010205,2019_2019,nhdhr,NASA_NLDAS_2000_2019
161,Stream Bank Erosion,2560142.0,2467.0,734.0,020401010205,2019_2019,nhdhr,NASA_NLDAS_2000_2019
162,Subsurface Flow,0.0,27946.204061822387,963.4775334377372,020401010205,2019_2019,nhdhr,NASA_NLDAS_2000_2019
163,Wetlands,121.71879057957301,56.004603712531605,3.062426953720642,020401010205,2019_2019,nhdhr,NASA_NLDAS_2000_2019
164,Wooded Areas,24110.124716794864,1393.536398923139,96.08688312969014,020401010205,2019_2019,nhdhr,NASA_NLDAS_2000_2019
165,Barren Areas,47.3989669546575,34.31117920184481,1.1961061393155032,020401010206,2019_2019,nhdhr,NASA_NLDAS_2000_2019
166,Cropland,2516.9814971080186,28.77622100797105,5.921771319920223,020401010206,2019_2019,nhdhr,NASA_NLDAS_2000_2019
167,Farm Animals,0.0,2939.920175992591,631.3744578841622,020401010206,2019_2019,nhdhr,NASA_NLDAS_2000_2019
168,Hay/Pasture,151630.27271179826,2613.5624629650856,1096.9942588070878,020401010206,2019_2019,nhdhr,NASA_NLDAS_2000_2019
169,High-Density Mixed,964.1649248334954,19.63235566907,2.0080755502050924,020401010206,2019_2019,nhdhr,NASA_NLDAS_2000_2019
170,Low-Density Mixed,3382.116433586335,80.43933728004275,8.677838828929973,020401010206,2019_2019,nhdhr,NASA_NLDAS_2000_2019
171,Low-Density Open Space,9993.54970463609,237.68386780926988,25.64146308049301,020401010206,2019_2019,nhdhr,NASA_NLDAS_2000_2019
172,Medium-Density Mixed,3280.8389803361993,66.80454359614097,6.833034858336772,020401010206,2019_2019,nhdhr,NASA_NLDAS_2000_2019
173,Open Land,1265.5736761204826,51.83019912262525,2.5009307300186165,020401010206,2019_2019,nhdhr,NASA_NLDAS_2000_2019
174,Point Sources,0.0,279.849438911944,23.979951921059207,020401010206,2019_2019,nhdhr,NASA_NLDAS_2000_2019
175,Septic Systems,0.0,87.01641432,0.0,020401010206,2019_2019,nhdhr,NASA_NLDAS_2000_2019
176,Stream Bank Erosion,2003449.0,1936.0,618.0,020401010206,2019_2019,nhdhr,NASA_NLDAS_2000_2019
177,Subsurface Flow,0.0,20913.604838230418,848.8463140222934,020401010206,2019_2019,nhdhr,NASA_NLDAS_2000_2019
178,Wetlands,148.9626529946498,66.27569198720697,3.6417637246357994,020401010206,2019_2019,nhdhr,NASA_NLDAS_2000_2019
179,Wooded Areas,22640.821758502174,2102.8864856394525,134.01923840193157,020401010206,2019_2019,nhdhr,NASA_NLDAS_2000_2019
180,Barren Areas,152.22583229387308,91.72131286140142,3.229894781689602,020401010207,2019_2019,nhdhr,NASA_NLDAS_2000_2019
181,Cropland,0.0,0.0,0.0,020401010207,2019_2019,nhdhr,NASA_NLDAS_2000_2019
182,Farm Animals,0.0,3139.3452704357423,674.7189794098251,020401010207,2019_2019,nhdhr,NASA_NLDAS_2000_2019
183,Hay/Pasture,26382.147151995487,490.10726903681433,210.24330114131456,020401010207,2019_2019,nhdhr,NASA_NLDAS_2000_2019
184,High-Density Mixed,385.50609303422067,7.457292941294464,0.7607255611731669,020401010207,2019_2019,nhdhr,NASA_NLDAS_2000_2019
185,Low-Density Mixed,1770.9996281859083,41.48610504996148,4.484219887189025,020401010207,2019_2019,nhdhr,NASA_NLDAS_2000_2019
186,Low-Density Open Space,6068.145934139532,142.1478218716954,15.364712811434478,020401010207,2019_2019,nhdhr,NASA_NLDAS_2000_2019
187,Medium-Density Mixed,1980.7037193827202,38.31505683630604,3.9085554694759264,020401010207,2019_2019,nhdhr,NASA_NLDAS_2000_2019
188,Open Land,3559.628937933962,96.40928487541503,6.146386254447246,020401010207,2019_2019,nhdhr,NASA_NLDAS_2000_2019
189,Point Sources,0.0,0.0,0.0,020401010207,2019_2019,nhdhr,NASA_NLDAS_2000_2019
190,Septic Systems,0.0,53.17669763999998,0.0,020401010207,2019_2019,nhdhr,NASA_NLDAS_2000_2019
191,Stream Bank Erosion,1513638.0,1468.0,478.0,020401010207,2019_2019,nhdhr,NASA_NLDAS_2000_2019
192,Subsurface Flow,0.0,46096.623317738355,1257.05702362602,020401010207,2019_2019,nhdhr,NASA_NLDAS_2000_2019
193,Wetlands,132.80412476381457,48.18354215925966,2.676543372041559,020401010207,2019_2019,nhdhr,NASA_NLDAS_2000_2019
194,Wooded Areas,34608.828970657196,1731.5465860903178,127.76599163447283,020401010207,2019_2019,nhdhr,NASA_NLDAS_2000_2019
195,Barren Areas,1.165008420138634,0.8052187562638067,0.028291928569698407,020401010301,2019_2019,nhdhr,NASA_NLDAS_2000_2019
196,Cropland,9074.209742449979,105.14904137134384,24.157401291669128,020401010301,2019_2019,nhdhr,NASA_NLDAS_2000_2019
197,Farm Animals,0.0,1838.4321384811822,395.27684472196813,020401010301,2019_2019,nhdhr,NASA_NLDAS_2000_2019
198,Hay/Pasture,83276.27543403467,880.7536665871734,399.0929787324852,020401010301,2019_2019,nhdhr,NASA_NLDAS_2000_2019
199,High-Density Mixed,173.86822790053526,3.251102188591906,0.3310479932877053,020401010301,2019_2019,nhdhr,NASA_NLDAS_2000_2019
200,Low-Density Mixed,1290.866351884496,29.666238771517758,3.214560471902553,020401010301,2019_2019,nhdhr,NASA_NLDAS_2000_2019
201,Low-Density Open Space,5378.609799518733,123.60932821465731,13.394001966260635,020401010301,2019_2019,nhdhr,NASA_NLDAS_2000_2019
202,Medium-Density Mixed,1270.5755115808347,23.7580544550947,2.4191968740255385,020401010301,2019_2019,nhdhr,NASA_NLDAS_2000_2019
203,Open Land,1082.9452247705844,31.447783078706728,2.0266317926172834,020401010301,2019_2019,nhdhr,NASA_NLDAS_2000_2019
204,Point Sources,0.0,0.0,0.0,020401010301,2019_2019,nhdhr,NASA_NLDAS_2000_2019
205,Septic Systems,0.0,33.83971668,0.0,020401010301,2019_2019,nhdhr,NASA_NLDAS_2000_2019
206,Stream Bank Erosion,591227.0,498.0,201.0,020401010301,2019_2019,nhdhr,NASA_NLDAS_2000_2019
207,Subsurface Flow,0.0,12626.008847799501,512.4674179400974,020401010301,2019_2019,nhdhr,NASA_NLDAS_2000_2019
208,Wetlands,106.42778475345621,40.21374141976436,2.2421812572999835,020401010301,2019_2019,nhdhr,NASA_NLDAS_2000_2019
209,Wooded Areas,19996.415331922693,1437.7778448516378,99.28402660824027,020401010301,2019_2019,nhdhr,NASA_NLDAS_2000_2019
210,Barren Areas,17.18454376034463,6.216187318134384,0.2303351974644162,020401010302,2019_2019,nhdhr,NASA_NLDAS_2000_2019
211,Cropland,35298.1050633934,314.2166357129795,81.93898386671286,020401010302,2019_2019,nhdhr,NASA_NLDAS_2000_2019
212,Farm Animals,0.0,2775.748908685491,604.1717718384878,020401010302,2019_2019,nhdhr,NASA_NLDAS_2000_2019
213,Hay/Pasture,156872.38198306007,1340.8718752033105,601.4154239472837,020401010302,2019_2019,nhdhr,NASA_NLDAS_2000_2019
