,Source,TotalN,TotalP,Sediment,Area,gwlfe_endpoint,huc,huc_level,huc_run,huc_run_level,huc_run_name,huc_run_states,huc_run_areaacres,land_use_source,closest_weather_stations,stream_layer,weather_source
31,Cropland,352.901923992318,61.1687611133669,25027.3578254252,76.60380236387712,subbasin,020401010103,12,020401010103,12,Rose Brook-West Branch Delaware River,NY,16327.17,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
32,Farm Animals,1463.878692848,311.522704464468,0.0,1464.4738668130633,subbasin,020401010103,12,020401010103,12,Rose Brook-West Branch Delaware River,NY,16327.17,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
33,Hay/Pasture,1316.06399077799,476.307147394463,110670.99922772,1387.8700644491862,subbasin,020401010103,12,020401010103,12,Rose Brook-West Branch Delaware River,NY,16327.17,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
34,High-Density Mixed,2.61284630549677,0.264018199912632,142.95345125276,0.9901784089337818,subbasin,020401010103,12,020401010103,12,Rose Brook-West Branch Delaware River,NY,16327.17,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
35,Low-Density Mixed,24.1554592110272,2.58925593999114,1021.43774432671,48.42872581876133,subbasin,020401010103,12,020401010103,12,Rose Brook-West Branch Delaware River,NY,16327.17,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
36,Low-Density Open Space,100.564676893822,10.7799103571329,4252.52451971559,201.45629810852762,subbasin,020401010103,12,020401010103,12,Rose Brook-West Branch Delaware River,NY,16327.17,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
37,Medium-Density Mixed,26.9124098170076,2.71959428072285,1472.47648759702,10.261848965313739,subbasin,020401010103,12,020401010103,12,Rose Brook-West Branch Delaware River,NY,16327.17,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
38,Open Land,17.0304798194814,1.71401965894136,1364.01735551592,13.052351754127125,subbasin,020401010103,12,020401010103,12,Rose Brook-West Branch Delaware River,NY,16327.17,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
39,Point Sources,0.0,0.0,0.0,6604.7,subbasin,020401010103,12,020401010103,12,Rose Brook-West Branch Delaware River,NY,16327.17,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
40,Septic Systems,37.0531880788333,0.0,0.0,48.42872581876133,subbasin,020401010103,12,020401010103,12,Rose Brook-West Branch Delaware River,NY,16327.17,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
41,Stream Bank Erosion,550.898980434856,152.143581239229,562724.752873968,6604.7,subbasin,020401010103,12,020401010103,12,Rose Brook-West Branch Delaware River,NY,16327.17,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
42,Subsurface Flow,35180.5985398254,546.285925490953,0.0,6604.7,subbasin,020401010103,12,020401010103,12,Rose Brook-West Branch Delaware River,NY,16327.17,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
43,Wetlands,28.1586458477487,1.53899025419108,73.7673168921807,82.45485659848583,subbasin,020401010103,12,020401010103,12,Rose Brook-West Branch Delaware River,NY,16327.17,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
44,Wooded Areas,570.870683541905,40.7788561094033,12415.2767225041,4775.450433849641,subbasin,020401010103,12,020401010103,12,Rose Brook-West Branch Delaware River,NY,16327.17,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
45,Barren Areas,0.600872579908774,0.0216742504517295,1.89407299746582,1.7103498497426448,subbasin,020401010104,12,020401010104,12,Kidd Brook-West Branch Delaware River,NY,17537.2,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
46,Cropland,474.579707573989,84.2388986822514,36393.2355660714,102.2609173319813,subbasin,020401010104,12,020401010104,12,Kidd Brook-West Branch Delaware River,NY,17537.2,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
47,Farm Animals,1570.88370130494,332.943815362922,0.0,1529.0527656699246,subbasin,020401010104,12,020401010104,12,Kidd Brook-West Branch Delaware River,NY,17537.2,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
48,Hay/Pasture,1347.17651608032,490.970734925132,119227.7947027,1426.7918483379433,subbasin,020401010104,12,020401010104,12,Kidd Brook-West Branch Delaware River,NY,17537.2,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
49,High-Density Mixed,7.51850021691155,0.759903120501313,398.914825025346,2.8805892206191914,subbasin,020401010104,12,020401010104,12,Kidd Brook-West Branch Delaware River,NY,17537.2,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
50,Low-Density Mixed,44.8203165973925,4.77034815351283,1836.07830608955,84.43727152940006,subbasin,020401010104,12,020401010104,12,Kidd Brook-West Branch Delaware River,NY,17537.2,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
51,Low-Density Open Space,135.99783232379,14.4675746446454,5569.90260942143,256.10238539567496,subbasin,020401010104,12,020401010104,12,Kidd Brook-West Branch Delaware River,NY,17537.2,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
52,Medium-Density Mixed,52.1068199705664,5.25765311446303,2762.46172296607,20.07410613118999,subbasin,020401010104,12,020401010104,12,Kidd Brook-West Branch Delaware River,NY,17537.2,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
53,Open Land,51.8753539572695,3.15330438314889,2114.18849528965,49.51012722939235,subbasin,020401010104,12,020401010104,12,Kidd Brook-West Branch Delaware River,NY,17537.2,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
54,Point Sources,0.0,0.0,0.0,7090.299999999999,subbasin,020401010104,12,020401010104,12,Kidd Brook-West Branch Delaware River,NY,17537.2,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
55,Septic Systems,70.8723373754497,0.0,0.0,84.43727152940006,subbasin,020401010104,12,020401010104,12,Kidd Brook-West Branch Delaware River,NY,17537.2,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
56,Stream Bank Erosion,667.806161723208,195.189634806338,726660.630752566,7090.299999999999,subbasin,020401010104,12,020401010104,12,Kidd Brook-West Branch Delaware River,NY,17537.2,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
57,Subsurface Flow,25355.2733185177,504.344847791426,0.0,7090.299999999999,subbasin,020401010104,12,020401010104,12,Kidd Brook-West Branch Delaware River,NY,17537.2,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
58,Wetlands,33.3271190893803,1.81531161211059,89.4110680078197,97.66997826161946,subbasin,020401010104,12,020401010104,12,Kidd Brook-West Branch Delaware River,NY,17537.2,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
59,Wooded Areas,591.531496664401,40.2956077113048,10721.1404325006,5048.772719613999,subbasin,020401010104,12,020401010104,12,Kidd Brook-West Branch Delaware River,NY,17537.2,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
60,Barren Areas,0.750286350052725,0.0255317966468591,1.0645268638482,1.439997190816198,subbasin,020401010105,12,020401010105,12,Little Delaware River,NY,33390.3,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
61,Cropland,12.790618470268,2.30516890504179,989.143743393125,4.679990870152643,subbasin,020401010105,12,020401010105,12,Little Delaware River,NY,33390.3,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
62,Farm Animals,2998.41373885552,635.350292780512,0.0,2071.1659595158226,subbasin,020401010105,12,020401010105,12,Little Delaware River,NY,33390.3,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
63,Hay/Pasture,1826.27010270205,680.723743646567,134150.343069136,2066.48596864567,subbasin,020401010105,12,020401010105,12,Little Delaware River,NY,33390.3,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
64,High-Density Mixed,5.75621243515123,0.579518462184307,308.161560786896,2.159995786224297,subbasin,020401010105,12,020401010105,12,Little Delaware River,NY,33390.3,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
65,Low-Density Mixed,55.7404453937496,5.97089370858131,2392.1890951143,115.19977526529586,subbasin,020401010105,12,020401010105,12,Little Delaware River,NY,33390.3,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
66,Low-Density Open Space,278.686547703664,29.8174586718958,11953.5378803942,575.9988763264791,subbasin,020401010105,12,020401010105,12,Little Delaware River,NY,33390.3,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
67,Medium-Density Mixed,45.2688038101787,4.56610375268985,2425.65449843465,17.279966289794377,subbasin,020401010105,12,020401010105,12,Little Delaware River,NY,33390.3,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
68,Open Land,62.6843658467039,3.22929233984303,1937.55347983708,62.09987885394853,subbasin,020401010105,12,020401010105,12,Little Delaware River,NY,33390.3,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
69,Point Sources,0.0,0.0,0.0,13455.6,subbasin,020401010105,12,020401010105,12,Little Delaware River,NY,33390.3,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
70,Septic Systems,61.2071807238121,0.0,0.0,115.19977526529586,subbasin,020401010105,12,020401010105,12,Little Delaware River,NY,33390.3,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
71,Stream Bank Erosion,1838.21880458451,529.874493778401,1930496.46631389,13455.6,subbasin,020401010105,12,020401010105,12,Little Delaware River,NY,33390.3,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
72,Subsurface Flow,17285.2298096878,695.141317922232,0.0,13455.6,subbasin,020401010105,12,020401010105,12,Little Delaware River,NY,33390.3,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
73,Wetlands,30.4380221271932,1.6437891944142,63.8344533956115,89.36982565503028,subbasin,020401010105,12,020401010105,12,Little Delaware River,NY,33390.3,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
74,Wooded Areas,1229.12589656607,82.5952544826996,20649.7840416799,10520.799475751994,subbasin,020401010105,12,020401010105,12,Little Delaware River,NY,33390.3,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
75,Barren Areas,0.775762429132788,0.0274361003547881,1.86782136699145,2.1596186554392163,subbasin,020401010106,12,020401010106,12,Elk Brook-West Branch Delaware River,NY,21931.82,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
76,Barren Areas,0.775762429132788,0.0274361003547881,1.86782136699145,2.1596186554392163,subbasin,020401010106,12,0204010101,10,Upper West Branch Delaware River,NY,125868.25,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
77,Cropland,165.73118561875,27.6849108778205,10946.4956485016,37.163437695683186,subbasin,020401010106,12,020401010106,12,Elk Brook-West Branch Delaware River,NY,21931.82,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
78,Cropland,165.73118561875,27.6849108778205,10946.4956485016,37.163437695683186,subbasin,020401010106,12,0204010101,10,Upper West Branch Delaware River,NY,125868.25,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
79,Farm Animals,1974.38964827565,416.336619091471,0.0,2414.4536567810437,subbasin,020401010106,12,020401010106,12,Elk Brook-West Branch Delaware River,NY,21931.82,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
80,Farm Animals,1974.38964827565,416.336619091471,0.0,2414.4536567810437,subbasin,020401010106,12,0204010101,10,Upper West Branch Delaware River,NY,125868.25,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
81,Hay/Pasture,2247.40530817485,796.059527643427,191551.296124628,2377.2902190853606,subbasin,020401010106,12,020401010106,12,Elk Brook-West Branch Delaware River,NY,21931.82,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
82,Hay/Pasture,2247.40530817485,796.059527643427,191551.296124628,2377.2902190853606,subbasin,020401010106,12,0204010101,10,Upper West Branch Delaware River,NY,125868.25,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
83,High-Density Mixed,82.0785043833374,8.35811028394838,3783.59002090026,29.694756512289228,subbasin,020401010106,12,020401010106,12,Elk Brook-West Branch Delaware River,NY,21931.82,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
84,High-Density Mixed,82.0785043833374,8.35811028394838,3783.59002090026,29.694756512289228,subbasin,020401010106,12,0204010101,10,Upper West Branch Delaware River,NY,125868.25,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
85,Low-Density Mixed,98.534524527107,10.428582833754,3926.27713202942,176.00892041829613,subbasin,020401010106,12,020401010106,12,Elk Brook-West Branch Delaware River,NY,21931.82,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
86,Low-Density Mixed,98.534524527107,10.428582833754,3926.27713202942,176.00892041829613,subbasin,020401010106,12,0204010101,10,Upper West Branch Delaware River,NY,125868.25,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
87,Low-Density Open Space,229.961944465024,24.2793591134337,9152.63317715202,410.7774650866676,subbasin,020401010106,12,020401010106,12,Elk Brook-West Branch Delaware River,NY,21931.82,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
88,Low-Density Open Space,229.961944465024,24.2793591134337,9152.63317715202,410.7774650866676,subbasin,020401010106,12,0204010101,10,Upper West Branch Delaware River,NY,125868.25,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
89,Medium-Density Mixed,189.843668599057,19.3006354082794,8744.50662871967,68.74786053148172,subbasin,020401010106,12,020401010106,12,Elk Brook-West Branch Delaware River,NY,21931.82,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
90,Medium-Density Mixed,189.843668599057,19.3006354082794,8744.50662871967,68.74786053148172,subbasin,020401010106,12,0204010101,10,Upper West Branch Delaware River,NY,125868.25,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
91,Open Land,47.1905016597303,2.29181750194655,1388.91257212481,46.97170575580296,subbasin,020401010106,12,020401010106,12,Elk Brook-West Branch Delaware River,NY,21931.82,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
92,Open Land,47.1905016597303,2.29181750194655,1388.91257212481,46.97170575580296,subbasin,020401010106,12,0204010101,10,Upper West Branch Delaware River,NY,125868.25,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
93,Point Sources,0.0,0.0,0.0,8856.6,subbasin,020401010106,12,020401010106,12,Elk Brook-West Branch Delaware River,NY,21931.82,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
94,Point Sources,0.0,0.0,0.0,8856.6,subbasin,020401010106,12,0204010101,10,Upper West Branch Delaware River,NY,125868.25,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
95,Septic Systems,243.179571819388,0.0,0.0,176.00892041829613,subbasin,020401010106,12,020401010106,12,Elk Brook-West Branch Delaware River,NY,21931.82,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
96,Septic Systems,243.179571819388,0.0,0.0,176.00892041829613,subbasin,020401010106,12,0204010101,10,Upper West Branch Delaware River,NY,125868.25,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
97,Stream Bank Erosion,1483.61367285124,409.919889635996,1555530.34271489,8856.6,subbasin,020401010106,12,020401010106,12,Elk Brook-West Branch Delaware River,NY,21931.82,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
98,Stream Bank Erosion,1483.61367285124,409.919889635996,1555530.34271489,8856.6,subbasin,020401010106,12,0204010101,10,Upper West Branch Delaware River,NY,125868.25,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
99,Subsurface Flow,11368.0752094448,486.328563534434,0.0,8856.6,subbasin,020401010106,12,020401010106,12,Elk Brook-West Branch Delaware River,NY,21931.82,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
100,Subsurface Flow,11368.0752094448,486.328563534434,0.0,8856.6,subbasin,020401010106,12,0204010101,10,Upper West Branch Delaware River,NY,125868.25,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
101,Wetlands,43.390238200446,2.34466214183696,115.12012819013,127.23753244962717,subbasin,020401010106,12,020401010106,12,Elk Brook-West Branch Delaware River,NY,21931.82,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
102,Wetlands,43.390238200446,2.34466214183696,115.12012819013,127.23753244962717,subbasin,020401010106,12,0204010101,10,Upper West Branch Delaware River,NY,125868.25,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
103,Wooded Areas,643.216529560446,40.7725334801224,8671.29425595774,5580.544589765579,subbasin,020401010106,12,020401010106,12,Elk Brook-West Branch Delaware River,NY,21931.82,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
104,Wooded Areas,643.216529560446,40.7725334801224,8671.29425595774,5580.544589765579,subbasin,020401010106,12,0204010101,10,Upper West Branch Delaware River,NY,125868.25,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
105,Barren Areas,2.06816767092498,0.0726500284152101,5.54671929417025,4.949777368184721,subbasin,020401010201,12,020401010201,12,Platner Brook-West Branch Delaware River,NY,19160.46,2019_2019,"4725,14777",nhdhr,NASA_NLDAS_2000_2019
106,Cropland,192.538352684616,34.085483799429,17797.6703445493,49.137789873251954,subbasin,020401010201,12,020401010201,12,Platner Brook-West Branch Delaware River,NY,19160.46,2019_2019,"4725,14777",nhdhr,NASA_NLDAS_2000_2019
107,Farm Animals,1778.13691897439,372.137387764114,0.0,1776.520095417571,subbasin,020401010201,12,020401010201,12,Platner Brook-West Branch Delaware River,NY,19160.46,2019_2019,"4725,14777",nhdhr,NASA_NLDAS_2000_2019
108,Hay/Pasture,2030.01478165665,708.398017310343,154701.01073417,1727.382305544319,subbasin,020401010201,12,020401010201,12,Platner Brook-West Branch Delaware River,NY,19160.46,2019_2019,"4725,14777",nhdhr,NASA_NLDAS_2000_2019
109,High-Density Mixed,32.0849585761065,3.22103183291442,1412.45053818192,11.51948187504808,subbasin,020401010201,12,020401010201,12,Platner Brook-West Branch Delaware River,NY,19160.46,2019_2019,"4725,14777",nhdhr,NASA_NLDAS_2000_2019
110,Low-Density Mixed,41.5556841959091,4.34205997566917,1747.63783677563,79.19643789095554,subbasin,020401010201,12,020401010201,12,Platner Brook-West Branch Delaware River,NY,19160.46,2019_2019,"4725,14777",nhdhr,NASA_NLDAS_2000_2019
111,Low-Density Open Space,144.182207835661,15.0572022922904,6062.13657057374,274.84763786247527,subbasin,020401010201,12,020401010201,12,Platner Brook-West Branch Delaware River,NY,19160.46,2019_2019,"4725,14777",nhdhr,NASA_NLDAS_2000_2019
112,Medium-Density Mixed,59.6861488285796,5.95020038466703,2618.80555476943,21.41903661141752,subbasin,020401010201,12,020401010201,12,Platner Brook-West Branch Delaware River,NY,19160.46,2019_2019,"4725,14777",nhdhr,NASA_NLDAS_2000_2019
113,Open Land,36.6885144845682,1.84882970836689,1150.43994870001,31.138599443489337,subbasin,020401010201,12,020401010201,12,Platner Brook-West Branch Delaware River,NY,19160.46,2019_2019,"4725,14777",nhdhr,NASA_NLDAS_2000_2019
114,Point Sources,30271.7687163192,15.9172830381445,0.0,7741.4,subbasin,020401010201,12,020401010201,12,Platner Brook-West Branch Delaware River,NY,19160.46,2019_2019,"4725,14777",nhdhr,NASA_NLDAS_2000_2019
115,Septic Systems,75.6124072718317,0.0,0.0,79.19643789095554,subbasin,020401010201,12,020401010201,12,Platner Brook-West Branch Delaware River,NY,19160.46,2019_2019,"4725,14777",nhdhr,NASA_NLDAS_2000_2019
116,Stream Bank Erosion,972.394556585867,255.18107647979,968798.47098497,7741.4,subbasin,020401010201,12,020401010201,12,Platner Brook-West Branch Delaware River,NY,19160.46,2019_2019,"4725,14777",nhdhr,NASA_NLDAS_2000_2019
117,Subsurface Flow,12413.6097137034,503.205486823474,0.0,7741.4,subbasin,020401010201,12,020401010201,12,Platner Brook-West Branch Delaware River,NY,19160.46,2019_2019,"4725,14777",nhdhr,NASA_NLDAS_2000_2019
