project_na,practice_i,practice_n,rn,comid,practice_t,practice_d,project_st,creator_na,program_id,program_na,created,modified,practice_url,project_url,huc12,area_acres,huc12_tssdevloadrate_lbacre,huc12_tssforeloadrate_lbacre,huc12_tndevloadrate_lbacre,huc12_tnforeloadrate_lbacre,huc12_tpdevloadrate_lbacre,huc12_tpforeloadrate_lbacre,parcel_devtssload_lbyr,parcel_foretssload_lbyr,parcel_tssload_lbyr_avoided,parcel_devtnload_lbyr,parcel_foretnload_lbyr,parcel_tnload_lbyr_avoided,parcel_devtpload_lbyr,parcel_foretpload_lbyr,parcel_tpload_lbyr_avoided
Brodhead Creek: Stony Run,14046,Stony Run - Subject,1,4152912,Fee acquisition,,complete,John Dawes,5,Delaware River Watershed Protection Fund - Forestland Capital Grants,2019-06-18 15:47:10.263055,2019-11-15 20:56:34.050925,https://www.fielddoc.org/practices/14046,https://www.fielddoc.org/projects/4909,020401040603,2.473,304.7,18.782,0.33,0.09,0.105,0.01,753.615,46.453,707.162,0.816,0.223,0.593,0.26,0.025,0.235
Brodhead Forest and Stream Association,42694,Parcel 1,1,4153166,Conservation easement,,active,The Academy of Natural Sciences of Drexel University,6,Delaware River Watershed Protection Fund - Transaction Grants,2020-01-30 18:49:07.700259,2020-02-03 18:51:04.611445,https://www.fielddoc.org/practices/42694,https://www.fielddoc.org/projects/5223,020401040903,189.864,1415.264,62.402,1.66,0.15,0.55,0.03,268707.775,11847.897,256859.878,315.174,28.48,286.694,104.425,5.696,98.729
Brodhead Watershed: SJC Builders,51716,Brodhead Watershed: SJC Builders,1,4153012,Conservation easement,,complete,The Academy of Natural Sciences of Drexel University,5,Delaware River Watershed Protection Fund - Forestland Capital Grants,2021-07-07 19:47:43.268075,2021-07-07 19:48:56.284555,https://www.fielddoc.org/practices/51716,https://www.fielddoc.org/projects/6302,020401040903,3.573,1415.264,62.402,1.66,0.15,0.55,0.03,5057.127,222.979,4834.148,5.932,0.536,5.396,1.965,0.108,1.857
Bucks Cove Run,14098,Bucks Cove Run - Main Parcel,1,4490530,Fee acquisition,,complete,John Dawes,5,Delaware River Watershed Protection Fund - Forestland Capital Grants,2019-07-01 18:48:26.549513,2019-11-15 20:56:34.050925,https://www.fielddoc.org/practices/14098,https://www.fielddoc.org/projects/4900,020402020103,3.243,1628.283,313.651,2.24,0.26,0.36,0.05,5280.447,1017.155,4263.292,7.264,0.843,6.421,1.167,0.162,1.005
Bushkill Watershed: Lein,51717,Bushkill Watershed: Lein,1,4153520,Conservation easement,,complete,The Academy of Natural Sciences of Drexel University,5,Delaware River Watershed Protection Fund - Forestland Capital Grants,2021-07-07 20:35:48.159609,2021-07-07 20:36:38.109245,https://www.fielddoc.org/practices/51717,https://www.fielddoc.org/projects/6303,020401040603,302.756,304.7,18.782,0.33,0.09,0.105,0.01,92249.752,5686.348,86563.404,99.909,27.248,72.661,31.789,3.028,28.761
Camp Hidden Falls,51718,Camp Hidden Falls,1,4151000,Conservation easement,,complete,The Academy of Natural Sciences of Drexel University,5,Delaware River Watershed Protection Fund - Forestland Capital Grants,2021-07-07 20:39:58.541236,2021-07-07 20:40:35.141700,https://www.fielddoc.org/practices/51718,https://www.fielddoc.org/projects/6304,020401040705,128.705,1948.825,187.061,2.52,0.27,0.72,0.07,250822.776,24075.656,226747.12,324.336,34.75,289.586,92.667,9.009,83.658
Cherry Creek (Percudani),51719,Cherry Creek (Percudani),1,4154350,Conservation easement,,complete,The Academy of Natural Sciences of Drexel University,5,Delaware River Watershed Protection Fund - Forestland Capital Grants,2021-07-07 20:44:48.224054,2021-07-07 20:45:37.272752,https://www.fielddoc.org/practices/51719,https://www.fielddoc.org/projects/6305,020401041004,174.766,924.505,74.154,1.82,0.16,0.44,0.03,161572.496,12959.673,148612.823,318.075,27.963,290.112,76.897,5.243,71.654
Cherry Valley,51721,Cherry Valley,1,2587783,Conservation easement,,complete,The Academy of Natural Sciences of Drexel University,5,Delaware River Watershed Protection Fund - Forestland Capital Grants,2021-07-07 20:52:08.441117,2021-07-19 13:45:32.427800,https://www.fielddoc.org/practices/51721,https://www.fielddoc.org/projects/6307,020401050602,173.16,1052.141,150.846,1.91,0.22,0.48,0.06,182188.481,26120.501,156067.98,330.735,38.095,292.64,83.117,10.39,72.727
Cranberry Overlook Greenway,5431,Acquisition,1,2586195,Fee acquisition,,complete,Kathleen Caccavale,5,Delaware River Watershed Protection Fund - Forestland Capital Grants,2019-01-25 16:48:57.618083,2021-03-25 18:38:01.119992,https://www.fielddoc.org/practices/5431,https://www.fielddoc.org/projects/2723,020401050502,42.411,1315.47,210.533,1.74,0.22,0.47,0.07,55790.93,8929.016,46861.914,73.796,9.331,64.465,19.933,2.969,16.964
Darling Preserve - Plank,51722,Darling Preserve - Plank,1,4185781,Conservation easement,,complete,The Academy of Natural Sciences of Drexel University,5,Delaware River Watershed Protection Fund - Forestland Capital Grants,2021-07-08 16:03:06.786704,2021-07-08 16:03:53.052933,https://www.fielddoc.org/practices/51722,https://www.fielddoc.org/projects/6308,020401060104,13.107,994.429,120.146,1.6,0.21,0.47,0.05,13034.173,1574.775,11459.398,20.972,2.753,18.219,6.16,0.655,5.505
Davey Run Headwaters (Darling Preserve Expansion),49117,Davey Run Headwaters - subject - fee,1,4186511,Fee acquisition,Fee-simple acquisition of 3.166 acres of forested land along Davey Run in the Upper Lehigh Cluster.,complete,Dawn Gorham,6,Delaware River Watershed Protection Fund - Transaction Grants,2021-01-28 20:56:20.270820,2021-09-15 15:10:29.935358,https://www.fielddoc.org/practices/49117,https://www.fielddoc.org/projects/6008,020401060104,3.277,994.429,120.146,1.6,0.21,0.47,0.05,3258.704,393.713,2864.991,5.243,0.688,4.555,1.54,0.164,1.376
Dingmans Creek,51724,Dingmans Creek,1,4150938,Conservation easement,,complete,The Academy of Natural Sciences of Drexel University,5,Delaware River Watershed Protection Fund - Forestland Capital Grants,2021-07-08 16:32:18.146385,2021-07-08 16:32:55.499769,https://www.fielddoc.org/practices/51724,https://www.fielddoc.org/projects/6310,020401040703,21.899,842.584,116.206,2.06,0.23,0.38,0.04,18451.53,2544.776,15906.754,45.111,5.037,40.074,8.322,0.876,7.446
Fisher,5297,Fisher,1,4781347,Fee acquisition,Land Protection,complete,Jack Stefferud,5,Delaware River Watershed Protection Fund - Forestland Capital Grants,2019-01-14 15:31:56.851473,2021-01-05 17:59:26.232300,https://www.fielddoc.org/practices/5297,https://www.fielddoc.org/projects/2673,020402030608,20.036,949.385,98.423,1.69,0.11,0.41,0.04,19021.475,1971.961,17049.514,33.86,2.204,31.656,8.215,0.801,7.414
Graham,5501,Acquisition,1,4781621,Fee acquisition,,complete,John Dawes,5,Delaware River Watershed Protection Fund - Forestland Capital Grants,2019-01-30 19:26:20.550490,2020-12-21 17:47:19.857339,https://www.fielddoc.org/practices/5501,https://www.fielddoc.org/projects/2765,020402030702,8.452,1374.254,278.058,1.9,0.21,0.5,0.08,11614.894,2350.085,9264.809,16.058,1.775,14.283,4.226,0.676,3.55
Guest land preservation,42303,Fee Acquisition,1,4782709,Fee acquisition,,active,Michael Bullard,6,Delaware River Watershed Protection Fund - Transaction Grants,2020-01-24 15:22:26.698169,2021-02-02 13:46:04.986584,https://www.fielddoc.org/practices/42303,https://www.fielddoc.org/projects/5299,020402030702,5.017,1374.254,278.058,1.9,0.21,0.5,0.08,6894.894,1395.07,5499.824,9.533,1.054,8.479,2.509,0.401,2.108
Hay Creek Riparian Buffer,49182,Love - Subject - Conservation Easement,1,4781347,Conservation easement,,complete,The Academy of Natural Sciences of Drexel University,7,Delaware River Watershed Protection Fund - Farm Buffer Capital Grants,2021-02-01 21:16:37.673767,2021-02-01 22:16:15.777382,https://www.fielddoc.org/practices/49182,https://www.fielddoc.org/projects/2702,020402030608,49.127,949.385,98.423,1.69,0.11,0.41,0.04,46640.569,4835.24,41805.329,83.025,5.404,77.621,20.142,1.965,18.177
Larsen's Lane:  Spence Acquisition,5424,Acquisition,1,4154462,Fee acquisition,,complete,John Dawes,5,Delaware River Watershed Protection Fund - Forestland Capital Grants,2019-01-25 04:44:24.640544,2021-07-19 13:44:39.530739,https://www.fielddoc.org/practices/5424,https://www.fielddoc.org/projects/2734,020401041004,51.157,924.505,74.154,1.82,0.16,0.44,0.03,47295.353,3793.544,43501.809,93.107,8.185,84.922,22.509,1.535,20.974
Lehigh River Headwaters Acquisition Project,42237,Lehigh River Headwaters Acquisition Project - Subject - Fee - Parcel 3,1,932040151,Fee acquisition,"Fee simple acquisition of 313 acres of the 495-acre Klondike property located at the headwaters of the Lehigh River in Covington, Sterling & Lehigh Townships in Lackawanna & Wayne Counties, Pennsylvania. To permanently protect 240 acres of high-quality s",complete,John Dawes,5,Delaware River Watershed Protection Fund - Forestland Capital Grants,2020-01-22 21:42:26.931775,2020-01-30 05:09:49.081688,https://www.fielddoc.org/practices/42237,https://www.fielddoc.org/projects/5307,020401060201,2.877,1626.006,143.052,2.16,0.21,0.71,0.06,4678.727,411.623,4267.104,6.215,0.604,5.611,2.043,0.173,1.87
Little Bushkill Forest Reserve,51770,Little Bushkill Forest Reserve,1,4152840,Conservation easement,,complete,The Academy of Natural Sciences of Drexel University,5,Delaware River Watershed Protection Fund - Forestland Capital Grants,2021-07-12 15:57:09.828309,2021-07-12 15:57:58.600255,https://www.fielddoc.org/practices/51770,https://www.fielddoc.org/projects/6337,020401040605,3.019,1234.809,69.768,1.86,0.15,0.5,0.03,3728.101,210.643,3517.458,5.616,0.453,5.163,1.51,0.091,1.419
Lubbers Run - Greenway Phase 2 - Forest,51769,Lubbers Run Greenway Phase II,2,932040131,Conservation easement,,complete,The Academy of Natural Sciences of Drexel University,5,Delaware River Watershed Protection Fund - Forestland Capital Grants,2021-07-12 15:50:59.231051,2021-07-12 15:52:54.715969,https://www.fielddoc.org/practices/51769,https://www.fielddoc.org/projects/2699,020401050502,21.262,1315.47,210.533,1.74,0.22,0.47,0.07,27969.575,4476.369,23493.206,36.996,4.678,32.318,9.993,1.488,8.505
Meister,5602,Meister - Conservation Easement,1,4781347,Conservation easement,"Conservation easement held by Berks Nature and written according to the PALTA model. 32 wooded acres of the parcel are designated as the Highest Protection Area, and 0.36 acres of the parcel are designated as the Minimal Protection Area.",complete,John Dawes,5,Delaware River Watershed Protection Fund - Forestland Capital Grants,2019-02-01 16:26:50.476011,2021-07-21 17:54:51.173677,https://www.fielddoc.org/practices/5602,https://www.fielddoc.org/projects/2675,020402030608,20.253,949.385,98.423,1.69,0.11,0.41,0.04,19227.711,1993.342,17234.369,34.227,2.228,31.999,8.304,0.81,7.494
Menantico Creek Project,5518,Menantico Creek,1,9483230,Fee acquisition,602-acre forested property acquired in fee by NJCF. This project was opened in Phase 1 and closed in Phase 2.,complete,Stephanie Monahan,5,Delaware River Watershed Protection Fund - Forestland Capital Grants,2019-01-30 23:10:55.661214,2021-07-12 14:21:08.608248,https://www.fielddoc.org/practices/5518,https://www.fielddoc.org/projects/2749,020402060503,172.639,860.577,172.688,1.73,0.12,0.2,0.02,148568.873,29812.648,118756.225,298.665,20.717,277.948,34.528,3.453,31.075
Milford Glen,51766,Milford Glen,1,4150730,Conservation easement,,complete,The Academy of Natural Sciences of Drexel University,5,Delaware River Watershed Protection Fund - Forestland Capital Grants,2021-07-12 14:18:05.271907,2021-07-12 14:18:43.594400,https://www.fielddoc.org/practices/51766,https://www.fielddoc.org/projects/6334,020401040701,39.327,1228.681,118.585,1.97,0.23,0.46,0.04,48320.589,4663.633,43656.956,77.475,9.045,68.43,18.091,1.573,16.518
Mosiers Knob,51765,Mosiers Knob,1,4153324,Fee acquisition,,complete,The Academy of Natural Sciences of Drexel University,5,Delaware River Watershed Protection Fund - Forestland Capital Grants,2021-07-12 14:14:33.847816,2021-07-12 14:15:06.332916,https://www.fielddoc.org/practices/51765,https://www.fielddoc.org/projects/6333,020401041005,159.256,2158.089,119.677,1.82,0.19,0.77,0.05,343689.517,19059.395,324630.122,289.847,30.259,259.588,122.627,7.963,114.664
Mt. Rascal,51764,Mt. Rascal,1,2586335,Fee acquisition,,complete,The Academy of Natural Sciences of Drexel University,5,Delaware River Watershed Protection Fund - Forestland Capital Grants,2021-07-12 14:12:03.005033,2021-08-03 21:59:31.629599,https://www.fielddoc.org/practices/51764,https://www.fielddoc.org/projects/6332,020401050503,14.018,1160.321,174.94,2.07,0.24,0.42,0.05,16265.139,2452.275,13812.864,29.017,3.364,25.653,5.887,0.701,5.186
Northeast Connection Phase II,42491,Conservation Easement Part 1,1,4151042,Conservation easement,,complete,Trey Talley,5,Delaware River Watershed Protection Fund - Forestland Capital Grants,2020-01-29 21:16:05.191995,2020-02-03 15:51:09.541612,https://www.fielddoc.org/practices/42491,https://www.fielddoc.org/projects/2705,020401040705,95.23,1948.825,187.061,2.52,0.27,0.72,0.07,185585.972,17813.789,167772.183,239.979,25.712,214.267,68.565,6.666,61.899
PK_Forested_Marshalls_Creek,42493,Scott 2__92.85 Acres,1,4153160,Fee acquisition,,complete,Kate Raman,6,Delaware River Watershed Protection Fund - Transaction Grants,2020-01-29 20:45:58.968726,2020-01-30 22:38:02.000619,https://www.fielddoc.org/practices/42493,https://www.fielddoc.org/projects/5312,020401040904,92.78,852.164,133.99,1.73,0.21,0.38,0.05,79063.761,12431.62,66632.141,160.509,19.484,141.025,35.256,4.639,30.617
Piccoli,42228,Piccoli,1,4782719,Fee acquisition,27-acre fee acquisition added to the PA Game Commission's State Game Lands #43,complete,Robyn Jeney,5,Delaware River Watershed Protection Fund - Forestland Capital Grants,2020-01-22 19:00:38.796693,2020-01-30 05:05:08.216301,https://www.fielddoc.org/practices/42228,https://www.fielddoc.org/projects/5295,020402030702,25.723,1374.254,278.058,1.9,0.21,0.5,0.08,35349.4,7152.376,28197.024,48.873,5.402,43.471,12.861,2.058,10.803
Pocono Mountain Bluestone,5302,Pocono Mountain Bluestone,1,4153052,Conservation easement,Land Protection,complete,Kate Raman,5,Delaware River Watershed Protection Fund - Forestland Capital Grants,2019-01-14 20:35:20.889852,2021-07-19 13:56:40.756288,https://www.fielddoc.org/practices/5302,https://www.fielddoc.org/projects/2678,020401040903,0.853,1415.264,62.402,1.66,0.15,0.55,0.03,1206.767,53.209,1153.558,1.415,0.128,1.287,0.469,0.026,0.443
Poplar Valley West,44300,Poplar Valley West_6,1,4154364,Fee acquisition,,active,Kate Raman,6,Delaware River Watershed Protection Fund - Transaction Grants,2020-03-05 15:09:35.048129,2020-03-27 20:28:31.659123,https://www.fielddoc.org/practices/44300,https://www.fielddoc.org/projects/5470,020401041004,6.88,924.505,74.154,1.82,0.16,0.44,0.03,6360.701,510.19,5850.511,12.522,1.101,11.421,3.027,0.206,2.821
Pyle Woods,51752,Pyle Woods,1,4782703,Conservation easement,,complete,The Academy of Natural Sciences of Drexel University,5,Delaware River Watershed Protection Fund - Forestland Capital Grants,2021-07-09 15:22:39.950400,2021-07-09 15:23:36.265358,https://www.fielddoc.org/practices/51752,https://www.fielddoc.org/projects/6329,020402030701,18.952,1225.535,82.361,1.7,0.1,0.47,0.03,23226.272,1560.909,21665.363,32.218,1.895,30.323,8.907,0.569,8.338
Quaker Hill,51751,Quaker Hill,1,4781347,Conservation easement,,complete,The Academy of Natural Sciences of Drexel University,5,Delaware River Watershed Protection Fund - Forestland Capital Grants,2021-07-09 15:19:07.386211,2021-07-09 15:19:43.276827,https://www.fielddoc.org/practices/51751,https://www.fielddoc.org/projects/6328,020402030608,79.974,949.385,98.423,1.69,0.11,0.41,0.04,75925.988,7871.267,68054.721,135.156,8.797,126.359,32.789,3.199,29.59
South Branch Rancocas Creek,14201,Parcel Section 1,1,4490996,Fee acquisition,"This project includes contiguous lands owned by two separate landowners in the Kirkwood-Cohansey Cluster, and will be completed in two phases. The property borders the Jade Run portion of the Rancocas Focus Area; however, it is predominantly outside of t",complete,John Dawes,6,Delaware River Watershed Protection Fund - Transaction Grants,2019-07-10 18:45:37.454341,2019-11-15 20:56:34.050925,https://www.fielddoc.org/practices/14201,https://www.fielddoc.org/projects/4943,020402020204,24.566,1486.082,333.374,2.39,0.33,0.4,0.06,36507.372,8189.733,28317.639,58.713,8.107,50.606,9.826,1.474,8.352
Thompson Wright,5438,Thompson Wright,1,4491280,Fee acquisition,New Jersey Conservation Foundation purchased this 442 acre property.,complete,Stephanie Monahan,5,Delaware River Watershed Protection Fund - Forestland Capital Grants,2019-01-28 14:41:59.736840,2021-07-12 18:02:00.762502,https://www.fielddoc.org/practices/5438,https://www.fielddoc.org/projects/2750,020402020201,28.84,1452.53,126.377,2.18,0.1,0.39,0.02,41891.392,3644.736,38246.656,62.872,2.884,59.988,11.248,0.577,10.671
Warwick Furnace,51745,Warwick Furnace,1,4782149,Conservation easement,,complete,The Academy of Natural Sciences of Drexel University,5,Delaware River Watershed Protection Fund - Forestland Capital Grants,2021-07-09 14:18:30.631710,2021-07-09 14:19:03.736253,https://www.fielddoc.org/practices/51745,https://www.fielddoc.org/projects/6322,020402030702,67.846,1374.254,278.058,1.9,0.21,0.5,0.08,93238.351,18865.263,74373.088,128.908,14.248,114.66,33.923,5.428,28.495
Yards Creek Preserve Phase I,5436,Yards Creek Preserve Phase I - Subject,1,2584987,Fee acquisition,,complete,Yvonne LoGiudice,5,Delaware River Watershed Protection Fund - Forestland Capital Grants,2019-01-25 18:36:23.757416,2021-03-25 18:34:49.498465,https://www.fielddoc.org/practices/5436,https://www.fielddoc.org/projects/2707,020401050104,97.618,1273.373,101.767,2.01,0.22,0.51,0.04,124304.376,9934.331,114370.045,196.213,21.476,174.737,49.785,3.905,45.88
Yards Creek Preserve Phase II,14071,Yards Creek Preserve Phase II - Subject,1,2584989,Fee acquisition,"This project is located in the NJ Highlands Cluster within the Paulins Kill focus area. Paulins Kill is the largest Phase II focus area. Within this focus area, the Cluster has targeted 850 acres in Bobcat Alley for land protection. Stressors include for",complete,Yvonne LoGiudice,5,Delaware River Watershed Protection Fund - Forestland Capital Grants,2019-06-25 15:18:49.768338,2021-03-25 18:45:37.974388,https://www.fielddoc.org/practices/14071,https://www.fielddoc.org/projects/4914,020401050104,3.176,1273.373,101.767,2.01,0.22,0.51,0.04,4044.752,323.254,3721.498,6.385,0.699,5.686,1.62,0.127,1.493
Yards Creek Preserve Phase III,48806,Yards Creek Preserve Phase III - Fee Acquisition,1,2583501,Fee acquisition,,complete,The Academy of Natural Sciences of Drexel University,5,Delaware River Watershed Protection Fund - Forestland Capital Grants,2021-01-12 14:50:52.657705,2021-03-25 18:37:05.980416,https://www.fielddoc.org/practices/48806,https://www.fielddoc.org/projects/5437,020401050104,6.857,1273.373,101.767,2.01,0.22,0.51,0.04,8732.099,697.864,8034.235,13.783,1.509,12.274,3.497,0.274,3.223
Yards Creek Preserve Phase IV,44282,Yards Creek Phase IV,1,2583463,Fee acquisition,"The project is located in the NJ Highlands Cluster within the Paulins Kill focus area, the largest Phase II focus area.The stressors include forestland conversion, lack of forest stewardship, and inconsistent use of Best Management Practices in land mana",complete,Yvonne LoGiudice,5,Delaware River Watershed Protection Fund - Forestland Capital Grants,2020-03-05 15:09:35.048129,2021-04-15 16:05:01.342752,https://www.fielddoc.org/practices/44282,https://www.fielddoc.org/projects/5464,020401050104,9.178,1273.373,101.767,2.01,0.22,0.51,0.04,11686.499,933.978,10752.521,18.447,2.019,16.428,4.68,0.367,4.313
Zemel Pemberton,51743,Zemel Pemberton,1,4491984,Conservation easement,,complete,The Academy of Natural Sciences of Drexel University,5,Delaware River Watershed Protection Fund - Forestland Capital Grants,2021-07-09 13:49:27.457993,2021-07-09 13:50:02.483613,https://www.fielddoc.org/practices/51743,https://www.fielddoc.org/projects/6320,020402020101,27.046,194.532,50.41,0.22,0.03,0.02,0.0,5261.228,1363.38,3897.848,5.95,0.811,5.139,0.541,0.0,0.541
Zemel Woodland North,51742,Zemel Woodland North,1,9444545,Conservation easement,,complete,The Academy of Natural Sciences of Drexel University,5,Delaware River Watershed Protection Fund - Forestland Capital Grants,2021-07-09 13:44:39.949614,2021-07-09 13:45:26.396869,https://www.fielddoc.org/practices/51742,https://www.fielddoc.org/projects/6319,020403010503,45.757,2278.908,75.579,2.69,0.05,0.49,0.01,104275.706,3458.281,100817.425,123.086,2.288,120.798,22.421,0.458,21.963
Zemel Woodland South,51729,Zemel Woodland South,1,9444545,Conservation easement,,complete,The Academy of Natural Sciences of Drexel University,5,Delaware River Watershed Protection Fund - Forestland Capital Grants,2021-07-08 17:20:23.382305,2021-07-08 17:20:57.530473,https://www.fielddoc.org/practices/51729,https://www.fielddoc.org/projects/6315,020403010503,82.477,2278.908,75.579,2.69,0.05,0.49,0.01,187957.924,6233.583,181724.341,221.864,4.124,217.74,40.414,0.825,39.589
